GeneID	Pathway
Symbol	NA
AT3G48110	Aminoacyl-tRNA biosynthesis
AT4G18040	NA
AT5G05160	NA
AT1G68000	Inositol phosphate metabolism; Glycerophospholipid metabolism; Metabolic pathways; Phosphatidylinositol signaling system
AT5G39940	NA
AT1G59830	mRNA surveillance pathway; Autophagy - other; Cornified envelope formation
AT1G33270	NA
AT4G26080	MAPK signaling pathway - plant; Plant hormone signal transduction
AT1G73430	NA
AT1G27760	NA
AT4G32950	NA
AT4G31770	NA
AT4G31770	NA
AT5G53020	NA
AT5G19485	NA
AT5G27660	NA
AT2G33840	Aminoacyl-tRNA biosynthesis
AT1G50700	Plant hormone signal transduction; Plant-pathogen interaction
AT1G78660	Folate biosynthesis; Biosynthesis of cofactors
AT1G78670	Folate biosynthesis; Biosynthesis of cofactors
AT5G02180	Neuroactive ligand signaling
AT3G12930	NA
AT2G31300	Endocytosis; IgSF CAM signaling; Cadherin signaling; Bacterial invasion of epithelial cells
AT4G13940	Cysteine and methionine metabolism; One carbon pool by folate; Metabolic pathways
AT3G10300	Plant-pathogen interaction
AT4G24270	NA
AT1G31870	Spliceosome
AT5G43530	NA
AT4G28690	NA
AT5G59440	Pyrimidine metabolism; Metabolic pathways; Nucleotide metabolism
AT3G19760	Nucleocytoplasmic transport; mRNA surveillance pathway; Spliceosome
AT4G13780	Selenocompound metabolism; Aminoacyl-tRNA biosynthesis; Metabolic pathways
AT5G58140	NA
AT2G31890	NA
AT3G15080	NA
AT5G10730	NA
AT1G73230	NA
AT1G70580	Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation by Calvin cycle; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
AT3G21390	NA
AT3G48380	NA
AT1G64720	NA
AT5G63840	N-Glycan biosynthesis; Metabolic pathways; Protein processing in endoplasmic reticulum
AT1G04420	NA
AT1G04420	NA
AT5G08170	Arginine and proline metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
AT1G67080	NA
AT4G17040	NA
AT5G16810	NA
AT4G20130	NA
AT5G54770	Thiamine metabolism; Metabolic pathways; Biosynthesis of cofactors
AT3G12270	NA
AT4G16570	NA
AT4G17190	Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
AT4G01100	NA
AT1G68300	NA
AT1G11860	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; One carbon pool by folate; Lipoic acid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism
AT1G10490	Ribosome biogenesis in eukaryotes
AT3G57940	Ribosome biogenesis in eukaryotes
AT3G17000	Ubiquitin mediated proteolysis; Protein processing in endoplasmic reticulum
AT1G01910	Protein export
AT1G01910	Protein export
AT5G02100	Lysosome biogenesis
