Pathway	GeneID	Symbol	Description	N_dep_1d_vs_Control_log2FC	N_dep_1d_vs_Control_padj	N_dep_2d_vs_Control_log2FC	N_dep_2d_vs_Control_padj	N_dep_2d_vs_1d_log2FC	N_dep_2d_vs_1d_padj
Transcription	NO02G05860	NO02G05860	hypothetical protein COCSUDRAFT_64835 [Coccomyxa subellipsoidea C-169] &gt;EIE25786.1 hypothetical protein COCSUDRAFT_64835 [Coccomyxa subellipsoidea C-169]	1.9002	0	1.6624	0	NA	NA
Chlorophyll	NO12G00680	NO12G00680	AAD28474.1 coproporphyrinogen III oxidase precursor [Chlamydomonas reinhardtii] &gt;EDP06704.1 coproporphyrinogen III oxidase [Chlamydomonas reinhardtii];coproporphyrinogen III oxidase [Chlamydomonas reinhardtii] &gt;AAD28475.1 coproporphyrinogen III oxidase precursor [Chlamydomonas reinhardtii] &gt	1.4435	0	NA	NA	NA	NA
Translation	NO27G01300	NO27G01300	hypothetical protein AALP_AA1G269500 [Arabis alpina]	-1.4541	0	-1.7314	0	NA	NA
Protein_Kinase_Signalling	NO16G00770	NO16G00770	PREDICTED: serine/threonine-protein kinase TOR isoform X1 [Solanum tuberosum]	2.0175	0	1.2997	0	NA	NA
Phenylalanine	NO20G00260	NO20G00260	Putative 4-hydroxyphenylpyruvate dioxygenase [Klebsormidium flaccidum]	-1.3739	0	NA	NA	1.0718	0
Ubiquitin_Proteasome	NO24G00350	NO24G00350	putative 26S proteasome regulatory subunit rpn3, partial [Anthurium amnicola]	-1.1082	0	NA	NA	1.049	0
Chlorophyll	NO08G02860	NO08G02860	hypothetical protein AXG93_3217s1490 [Marchantia polymorpha subsp. polymorpha]	-1.3251	0	-1.2392	0	NA	NA
Translation	NO28G00080	NO28G00080	XP_016484654.1 PREDICTED: 60S ribosomal protein L23a-like [Nicotiana tabacum];PREDICTED: 60S ribosomal protein L23a [Nicotiana sylvestris] &gt	-1.1171	0	NA	NA	NA	NA
Phospholipid_Biosynthesis	NO04G01100	NO04G01100	hypothetical protein SELMODRAFT_103194 [Selaginella moellendorffii] &gt;EFJ23629.1 hypothetical protein SELMODRAFT_103194 [Selaginella moellendorffii]	-1.8265	0	NA	NA	1.2869	0
IAA	NO08G02070	NO08G02070	Protein kinase superfamily protein,HT1 [Klebsormidium flaccidum]	1.1173	0	1.6963	0	NA	NA
Glycolysis	NO08G01560	NO08G01560	Glyceraldehyde-3-phosphate dehydrogenase, partial [Anthurium amnicola]	1.8038	0	1.6009	0	NA	NA
Vitamin_B2_Riboflavin	NO01G05880	NO01G05880	Putative GTP cyclohydrolase URC1 [Anthurium amnicola]	-2.2349	0	-1.8597	0	NA	NA
TCA_Cycle	NO09G01600	NO09G01600	hypothetical protein GPECTOR_4g980 [Gonium pectorale]	-1.1091	0	NA	NA	NA	NA
Glutathione_Metabolism	NO24G00490	NO24G00490	EIE21308.1 glutathione S-transferase [Coccomyxa subellipsoidea C-169];glutathione S-transferase [Coccomyxa subellipsoidea C-169] &gt	-1.2469	0	NA	NA	NA	NA
Ubiquitin_Proteasome	NO21G01320	NO21G01320	hypothetical protein AMTR_s00036p00125470 [Amborella trichopoda]	-1.446	0	NA	NA	NA	NA
Chlorophyll	NO23G00950	NO23G00950	hypothetical protein CHLNCDRAFT_133396 [Chlorella variabilis] &gt;EFN59758.1 hypothetical protein CHLNCDRAFT_133396 [Chlorella variabilis]	1.089	0	NA	NA	NA	NA
TCA_Cycle	NO29G00740	NO29G00740	unnamed protein product [Ostreococcus tauri] &gt;CAL54960.1 Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, CybS [Ostreococcus tauri]	2.1816	0	2.1806	0	NA	NA
Phospholipid_Biosynthesis	NO19G02210	NO19G02210	predicted protein [Bathycoccus prasinos] &gt;CCO19303.1 predicted protein [Bathycoccus prasinos]	5.537	0	3.4482	0	-2.0419	0
Chlorophyll	NO29G01260	NO29G01260	EDQ54426.1 predicted protein [Physcomitrella patens];predicted protein [Physcomitrella patens] &gt	1.0816	1e-06	1.2534	0	NA	NA
TCA_Cycle	NO19G01350	NO19G01350	ABO94666.1 2-oxoglutarate dehydrogenase E2 subunit-like protein [Ostreococcus lucimarinus CCE9901];2-oxoglutarate dehydrogenase E2 subunit-like protein [Ostreococcus lucimarinus CCE9901] &gt	1.5088	0	1.2244	0	NA	NA
Glycolysis	NO26G00730	NO26G00730	pyridine nucleotide-disulfide oxidoreductase, partial [Helicosporidium sp. ATCC 50920]	2.2837	0	1.8281	0	NA	NA
Chaperone	NO10G02620	NO10G02620	PREDICTED: tubulin-folding cofactor D-like [Ziziphus jujuba];Beta-tubulin folding cofactor D [Klebsormidium flaccidum]	-1.7213	0	NA	NA	NA	NA
Purine	NO05G01230	NO05G01230	purine-nucleoside phosphorylase [Monoraphidium neglectum] &gt;KIY95590.1 purine-nucleoside phosphorylase [Monoraphidium neglectum]	9.5538	0	9.9109	0	NA	NA
Chlorophyll	NO05G03090	NO05G03090	unknown [Zea mays]	-1.265	0.000164	NA	NA	NA	NA
Transcription	NO10G04010	NO10G04010	hypothetical protein KFL_003690030 [Klebsormidium flaccidum]	1.2109	0	1.2064	0	NA	NA
Chlorophyll	NO16G00200	NO16G00200	hypothetical protein AALP_AA1G089000 [Arabis alpina]	1.6868	0	1.2504	0	NA	NA
Glycolysis	NO01G04110	NO01G04110	predicted protein [Hordeum vulgare subsp. vulgare]	-1.42	0	NA	NA	NA	NA
Transcription	NO29G00140	NO29G00140	d-aminoacylase, putative, partial [Ricinus communis]	1.6369	0	1.8824	0	NA	NA
Purine	NO05G01480	NO05G01480	Uncharacterized protein C1683.06c family [Cajanus cajan];DNA helicase RecG (ISS) [Dorcoceras hygrometricum]	1.2	0	NA	NA	NA	NA
Protein_Kinase_Signalling	NO16G00740	NO16G00740	EFJ26294.1 hypothetical protein SELMODRAFT_413509 [Selaginella moellendorffii];hypothetical protein SELMODRAFT_413509 [Selaginella moellendorffii] &gt	1.9823	0	1.0219	0	NA	NA
Transcription	NO11G00950	NO11G00950	EFN55503.1 hypothetical protein CHLNCDRAFT_23080 [Chlorella variabilis];hypothetical protein CHLNCDRAFT_23080 [Chlorella variabilis] &gt	1.1818	2e-06	NA	NA	NA	NA
Purine	NO02G06090	NO02G06090	urease [Klebsormidium flaccidum]	3.313	0	2.3068	0	NA	NA
Pentose_Phosphate	NO10G01240	NO10G01240	PREDICTED: putative ribokinase [Erythranthe guttata] &gt;EYU29396.1 hypothetical protein MIMGU_mgv1a008499mg [Erythranthe guttata];EFN51579.1 hypothetical protein CHLNCDRAFT_140074 [Chlorella variabilis];hypothetical protein CHLNCDRAFT_140074 [Chlorella variabilis] &gt;PREDICTED: ribokinase-like [Gossypium hirsutum]	1.6999	0	NA	NA	-1.1959	0
Serine	NO20G01610	NO20G01610	EDQ69412.1 predicted protein [Physcomitrella patens];predicted protein [Physcomitrella patens] &gt	1.4852	0	NA	NA	NA	NA
Protein_Kinase_Signalling	NO02G05400	NO02G05400	EFN53833.1 hypothetical protein CHLNCDRAFT_25631 [Chlorella variabilis];PREDICTED: probable serine/threonine-protein kinase DDB_G0280111 isoform X2 [Brassica rapa];hypothetical protein CHLNCDRAFT_25631 [Chlorella variabilis] &gt	-1.0891	5e-06	NA	NA	NA	NA
Purine	NO01G02260	NO01G02260	nucleoside phosphatase family protein [Klebsormidium flaccidum]	8.9165	0	NA	NA	-9.2521	0
Phospholipid_Biosynthesis	NO04G02830	NO04G02830	hypothetical protein VOLCADRAFT_45525 [Volvox carteri f. nagariensis] &gt;EFJ40086.1 hypothetical protein VOLCADRAFT_45525, partial [Volvox carteri f. nagariensis]	1.5625	0	1.6362	0	NA	NA
Inositol	NO09G01090	NO09G01090	PREDICTED: uncharacterized oxidoreductase At4g09670-like isoform X2 [Tarenaya hassleriana] &gt;XP_019057274.1 PREDICTED: uncharacterized oxidoreductase At4g09670-like isoform X1 [Tarenaya hassleriana]	1.3286	0.010918	NA	NA	NA	NA
Transcription	NO19G00190	NO19G00190	predicted protein [Physcomitrella patens] &gt;EDQ48606.1 predicted protein, partial [Physcomitrella patens]	1.0725	0	1.3071	0	NA	NA
Folate	NO24G01020	NO24G01020	formate-tetrahydrofolate ligase [Coccomyxa subellipsoidea C-169] &gt;EIE27503.1 formate-tetrahydrofolate ligase [Coccomyxa subellipsoidea C-169]	1.5127	0	NA	NA	-1.9019	0
Tryptophan	NO03G02330	NO03G02330	EFJ48886.1 hypothetical protein VOLCADRAFT_43298, partial [Volvox carteri f. nagariensis];hypothetical protein VOLCADRAFT_43298 [Volvox carteri f. nagariensis] &gt	1.1954	0	NA	NA	NA	NA
Transcription	NO25G01470	NO25G01470	d-aminoacylase, putative, partial [Ricinus communis]	1.9029	0	1.222	0.000459	NA	NA
