Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Serine	Cre01.g001200	Cre01.g001200	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm signal transduction	0.1923	0.938773	-0.5439	0.327143	0.6219	0.627762	-0.1143	0.942022
Ubiquitin_Proteasome	Cre01.g001300	Cre01.g001300	ubiquitin binding double-strand break repair via homologous recombination	1.7235	0.763672	3.3813	0.322247	0.6239	0.627762	2.2817	0.606213
Translation	Cre01.g001550	Cre01.g001550	translation initiation factor activity translational initiation translation cytoplasm ribosome binding ribosome disassembly	0.688	0.764391	0.9553	0.479134	0.7425	0.627762	1.0098	0.612633
Ubiquitin_Proteasome	Cre01.g001600	Cre01.g001600	cytoplasm ubiquitin ligase complex protein binding	-0.9809	0.763672	-0.1345	0.877197	0.1629	0.794609	1.0093	0.610123
Serine	Cre01.g001678	Cre01.g001678	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.6205	0.765014	0.4258	0.527027	0.8219	0.627762	0.6272	0.60926
Serine	Cre01.g001700	Cre01.g001700	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.3701	0.797075	0.4781	0.318569	0.9873	0.627762	1.0952	0.606213
Proline	Cre01.g001750	Cre01.g001750	peptidyl-prolyl cis-trans isomerase activity protein folding protein transport isomerase activity protein folding chaperone ribosome binding protein unfolding	0.2131	0.919378	-0.5523	0.270534	0.9493	0.627762	0.1838	0.853247
Serine	Cre01.g001800	Cre01.g001800	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	-0.6051	0.765014	-0.6956	0.45159	0.4436	0.643424	0.353	0.760501
Vitamin_E_Tocopherol	Cre01.g002100	Cre01.g002100	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	0.7458	0.774794	0.4613	0.515808	1.1045	0.627762	0.82	0.610123
Proline	Cre01.g002300	Cre01.g002300	peptidyl-prolyl cis-trans isomerase activity protein folding protein peptidyl-prolyl isomerization isomerase activity cytoplasm cyclosporin A binding	-1.3194	0.763672	-1.5062	0.192197	0.2133	0.804437	0.0265	0.972004
