Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Glycine	Cz01g00020	AT3G48110	(1 of 1) K14164 - glycyl-tRNA synthetase (glyQS)	-0.0729	0.403539	0.1947	0.104588	0.0818	0.191645	-0.1858	0.033378
Protein_Kinase_Signalling	Cz01g00050	AT5G05160	(1 of 1) PTHR48010:SF11 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	-0.2593	0.638848	-0.2488	0.802691	-0.7749	0.268786	-0.7854	0.07375
Inositol	Cz01g00060	AT1G68000	(1 of 1) PTHR15362:SF25 - CDP-DIACYLGLYCEROL--INOSITOL 3-PHOSPHATIDYLTRANSFERASE 1	-0.0989	0.805765	-0.1146	0.644386	-0.4703	0.211868	-0.4546	0.136697
Protein_Phosphatase_Signalling	Cz01g00080	AT1G59830	(1 of 1) PTHR45619:SF16 - SERINE_THREONINE-PROTEIN PHOSPHATASE PP2A-1 CATALYTIC SUBUNIT	0.0442	0.483599	0.2401	0.097782	-0.2574	0.023581	-0.4533	0.020919
Lipid_Hydrolase	Cz01g00090	AT1G33270	(1 of 1) KOG3773 - Adiponutrin and related vesicular transport proteins; predicted alpha/beta hydrolase	-0.0721	0.905323	-0.0953	0.854826	0.3054	0.391767	0.3286	0.412118
Protein_Phosphatase_Signalling	Cz01g00100	AT4G26080	(1 of 1) PTHR47992:SF179 - PROTEIN PHOSPHATASE 2C 56	-0.0519	0.397131	-0.1762	0.708063	-0.535	0.127108	-0.4107	0.127153
Vesicle_Trafficking	Cz01g00110	AT1G73430	(1 of 1) PF04136//PF20671 - Conserved oligomeric Golgi complex subunit 3, N-terminal (COG3_N) // Conserved oligomeric Golgi complex subunit 3, C-terminal (COG3_C)	0.2831	0.137172	-0.0476	0.778969	-0.6677	0.017107	-0.3371	0.042446
Protein_Phosphatase_Signalling	Cz01g00140	AT4G32950	(1 of 1) PTHR47992:SF82 - PROTEIN PHOSPHATASE 2C 61-RELATED	0.103	0.832564	-1.8124	0.207702	-3.0576	0.026199	-1.1421	0.083552
RNA_Splicing	Cz01g00150	AT4G31770	(1 of 1) K18328 - lariat debranching enzyme [EC:3.1.-.-] (DBR1)	0.2161	0.498563	0.1155	0.765454	-0.4506	0.079655	-0.35	0.253412
RNA_Splicing	Cz01g00160	AT4G31770	(1 of 1) K18328 - lariat debranching enzyme [EC:3.1.-.-] (DBR1)	0.1446	0.552128	0.0803	0.806593	-0.3372	0.050163	-0.2729	0.281378
