Pathway	GeneID	Symbol	Description	HL_vs_ML_0.5h_log2FC	HL_vs_ML_1h_log2FC	HL_vs_ML_3h_log2FC	HL_vs_ML_6h_log2FC	HL_vs_ML_12h_log2FC	HL_vs_ML_0.5h_padj	HL_vs_ML_1h_padj	HL_vs_ML_3h_padj	HL_vs_ML_6h_padj	HL_vs_ML_12h_padj
Glycine	Cz01g00020	AT3G48110	(1 of 1) K14164 - glycyl-tRNA synthetase (glyQS)	-0.00324948	-0.0323399	0.106837	0.131334	0.276648	0.982607	0.844576	0.467944	0.375068	0.0377053
Protein_Kinase_Signalling	Cz01g00050	AT5G05160	(1 of 1) PTHR48010:SF11 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	0.0382343	-0.309711	0.0869054	-0.0586215	0.544087	0.887887	0.181547	0.691081	0.779227	0.000202999
Inositol	Cz01g00060	AT1G68000	(1 of 1) PTHR15362:SF25 - CDP-DIACYLGLYCEROL--INOSITOL 3-PHOSPHATIDYLTRANSFERASE 1	0.0441511	0.154087	0.147769	0.249457	0.161916	0.887851	0.573783	0.645672	0.28836	0.514076
RNA_Processing	Cz01g00180	AT5G53020	(1 of 1) PTHR47747:SF2 - RIBONUCLEASE P PROTEIN SUBUNIT P38-LIKE PROTEIN	-0.205659	-0.144381	-0.226401	-0.0148517	-0.197913	0.137847	0.304842	0.0981836	0.929646	0.149772
Translation	Cz01g00200	AT5G19485	(1 of 1) K03241 - translation initiation factor eIF-2B subunit gamma (EIF2B3)	0.101733	0.0694141	-0.138447	-0.0812531	-0.0499372	0.56373	0.703042	0.415248	0.650781	0.801264
Tyrosine	Cz01g00230	AT2G33840	(1 of 3) 6.1.1.1 - tyrosine--tRNA ligase. / tyrosyl-tRNA synthetase.	-0.0354141	-0.202275	0.0320959	-0.055229	-0.315287	0.826709	0.144078	0.841174	0.733029	0.0190416
Protein_Kinase_Signalling	Cz01g00240	AT1G50700	(1 of 2) PTHR24349:SF350 - CALCIUM-DEPENDENT PROTEIN KINASE 33-RELATED	0.00645531	-0.0672382	0.0486751	0.435248	-0.331617	0.978778	0.855407	0.898095	0.0935414	0.188403
RNA_Processing	Cz01g01080	AT4G24270	(1 of 1) PF00076//PF05391 - RNA recognition motif (RRM_1) // Lsm interaction motif (Lsm_interact)	-0.276436	-0.29121	-0.0347891	-0.151595	-0.0357073	0.0466005	0.0337852	0.835119	0.297734	0.831632
Protein_Kinase_Signalling	Cz01g01200	AT5G59440	(1 of 1) 1.2.4.4//2.7.4.12//2.7.4.9 - 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring). / dehydrogenase, 2-oxoisovalerate (lipoate). // T2-induced deoxynucleotide kinase. / T2-induced deoxynucleotide kinase. // dTMP kinase. / TMPK.	-0.00408522	0.219971	-0.190084	0.134868	-0.311933	0.985987	0.3348	0.37707	0.461854	0.0912418
Translation	Cz01g01210	AT3G19760	(1 of 1) PTHR47958:SF26 - EUKARYOTIC INITIATION FACTOR 4A-III	0.00217783	0.131388	-0.0291986	-0.159361	-0.206659	0.986844	0.3676	0.858873	0.253761	0.130858
Methionine	Cz01g01220	AT4G13780	(1 of 1) PTHR45765:SF1 - METHIONINE--TRNA LIGASE, CYTOPLASMIC	-0.0973434	-0.271731	-0.105046	-0.400084	-0.195434	0.532799	0.0467865	0.493926	0.00358404	0.16143
Protein_Kinase_Signalling	Cz01g01240	AT5G58140	(1 of 1) PTHR45637:SF22//PTHR47429:SF2 - FLIPPASE KINASE 1-RELATED // PROTEIN TWIN LOV 1	0.413578	0.0915843	-0.0461534	0.178818	0.585395	0.0015413	0.560246	0.783804	0.215092	0.000202999
RNA_Processing	Cz01g02030	AT3G15080	(1 of 1) K18327 - RNA exonuclease 4 [EC:3.1.-.-] (REXO4, REX4)	0.0609549	0.00724885	-0.0950211	-0.199247	-0.162761	0.726593	0.968773	0.558408	0.181891	0.26739
Translation	Cz01g02050	AT5G10730	(1 of 1) PTHR12126:SF16 - MIOREX COMPLEX COMPONENT 2	-0.44704	-0.120555	0.0805351	-0.0138392	0.149016	0.00815729	0.502574	0.66626	0.947441	0.402722
Translation	Cz01g02060	AT1G73230	(1 of 1) PTHR10351:SF55 - NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT BETA	-0.174501	-0.0218897	0.0471846	-0.315767	-0.583002	0.211923	0.896331	0.767716	0.0173834	0.000202999
Vitamin_B1_Thiamine	Cz01g02160	AT3G21390	(1 of 2) K15108 - solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19 (SLC25A19, DNC, TPC1)	-0.0905529	0.201791	0.0381404	0.277088	-0.160017	0.605071	0.191668	0.832699	0.0706444	0.350438
Ubiquitin_Proteasome	Cz01g02180	AT3G48380	(1 of 1) PTHR48153:SF2 - UFM1-SPECIFIC PROTEASE 2	-0.0979234	-0.026724	-0.0513384	-0.172869	0.156572	0.586188	0.893517	0.783394	0.266885	0.308949
Phospholipid_Biosynthesis	Cz01g02190	AT1G64720	(1 of 1) PTHR19308:SF39 - PHOSPHATIDYLCHOLINE TRANSFER PROTEIN	0.402527	0.277933	0.382107	0.48302	0.649943	0.0021481	0.0345782	0.00330483	0.000388788	0.000202999
Glycolysis	Cz01g02230	AT5G63840	(1 of 1) 3.2.1.84 - glucan 1,3-alpha-glucosidase. / exo-1,3-alpha-glucanase.	-0.0171085	-0.101841	-0.0572956	-0.0910679	-0.293298	0.921661	0.493057	0.718754	0.559581	0.028749
Carotenoid	Cz01g02290	AT1G67080	(1 of 1) 5.3.99.9 - neoxanthin synthase. / NSY.	-0.881017	-1.08091	-0.56017	-0.10131	-0.370679	0.0194775	0.00507971	0.0534657	0.745652	0.155671
Protein_Kinase_Signalling	Cz01g03020	AT5G16810	(1 of 1) PTHR36796:SF1 - PROTEIN KINASE FAMILY PROTEIN	-0.276047	0.102885	0.258432	0.81944	-0.120481	0.240483	0.685333	0.311746	0.00184767	0.706678
Transcription	Cz01g03070	AT4G20130	(1 of 1) PTHR13271:SF54 - PROTEIN PLASTID TRANSCRIPTIONALLY ACTIVE 14	0.0686408	-0.0427479	0.322918	0.0436663	0.204788	0.712455	0.82717	0.042434	0.827775	0.237682
Vitamin_B1_Thiamine	Cz01g03110	AT5G54770	(1 of 1) K03146 - thiamine thiazole synthase (THI4, THI1)	-0.0627874	-0.179558	0.124008	-0.0347164	-0.0729726	0.699327	0.219794	0.433656	0.853978	0.693427
Wax_Cutin	Cz01g03190	AT4G17190	(1 of 2) 2.5.1.1//2.5.1.10 - dimethylallyltranstransferase. / prenyltransferase. // (2E,6E)-farnesyl diphosphate synthase. / geranyltranstransferase.	-0.0961433	-0.111194	-0.0447799	-0.0066097	-0.469189	0.547041	0.473605	0.788945	0.970458	0.000202999
Purine	Cz01g03210	AT4G01100	(1 of 1) PTHR24089:SF776 - MITOCHONDRIAL ADENINE NUCLEOTIDE TRANSPORTER ADNT1	-0.192547	0.061811	-0.00948564	-0.180297	-0.271265	0.195102	0.702603	0.957199	0.227342	0.0429082
Ubiquitin_Proteasome	Cz01g03220	AT1G68300	(1 of 1) PTHR31964:SF113 - USP DOMAIN-CONTAINING PROTEIN	-0.623917	0.200141	NA	-0.0154755	0.299235	0.123343	0.620977	NA	0.974873	0.086738
Glycine	Cz01g03240	AT1G11860	(1 of 1) K00605 - aminomethyltransferase (gcvT, AMT)	0.137053	0.369539	0.366052	0.225231	0.0113402	0.454975	0.0235478	0.0187136	0.158348	0.955712
Methionine	Cz01g03260	AT3G57940	(1 of 2) 2.3.1.193 - tRNA(Met) cytidine acetyltransferase. / tRNA(Met) cytidine acetyltransferase.	0.0789388	0.0504775	0.0818659	-0.190734	-0.0180182	0.649754	0.78551	0.642162	0.263093	0.930956
Ubiquitin_Proteasome	Cz01g03270	AT3G17000	(1 of 1) K10578 - ubiquitin-conjugating enzyme E2 J1 (UBE2J1, NCUBE1, UBC6)	0.114346	0.127756	-0.272308	-0.168891	0.263967	0.47528	0.439152	0.0835001	0.298519	0.109936
Photosynthesis	Cz01g04040	AT3G63540	(1 of 14) IPR016123 - Mog1/PsbP, alpha/beta/alpha sandwich	-0.49351	-0.44485	0.0201429	0.270867	-0.128434	0.000388788	0.00258918	0.912207	0.0647917	0.419197
