Pathway	GeneID	Symbol	Description	Salt_vs_Control_log2FC	Salt_vs_Control_padj	PEG_vs_Control_log2FC	PEG_vs_Control_padj
Fatty Acids	Cluster-12638.2	Cluster-12638.2	omega-6 fatty acid desaturase endoplasmic reticulum isozyme 2b [Musa AB Group]	20.8190946199007	NA	18.206580386056	NA
Fatty Acids	Cluster-12638.3	Cluster-12638.3	"fatty acid desaturase, delta-12 [Chlamydomonas reinhardtii]>gi|158279015|gb|EDP04777.1| fatty acid desaturase, delta-12 [Chlamydomonas reinhardtii]>gi|195546504|gb|ACF98526.1| microsomal delta-12 fatty acid desaturase [Chlamydomonas reinhardtii]"	19.4323726615248	NA	17.8268773957841	NA
Proline	Cluster-5656.0	Cluster-5656.0	1-pyrroline-5-carboxylate dehydrogenase [Galdieria sulphuraria]>gi|452821718|gb|EME28745.1| 1-pyrroline-5-carboxylate dehydrogenase [Galdieria sulphuraria]	19.3538037232818	NA	0	NA
Proline	Cluster-5318.0	Cluster-5318.0	1-pyrroline-5-carboxylate dehydrogenase [Galdieria sulphuraria]>gi|452821718|gb|EME28745.1| 1-pyrroline-5-carboxylate dehydrogenase [Galdieria sulphuraria]	18.9812021248626	NA	17.4576453959419	NA
Carotenoids	Cluster-31803.8150	Cluster-31803.8150	phytoene desaturase [Auxenochlorella protothecoides]	18.9459267191203	NA	16.779578299778	NA
Glycine betaine	Cluster-31803.25230	Cluster-31803.25230	"Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]>gi|675352760|gb|KFM25200.1| Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]"	18.9315714547114	NA	17.81128060818	NA
Carotenoids	Cluster-31803.84603	Cluster-31803.84603	zeta-carotene desaturase [Auxenochlorella protothecoides]>gi|313870542|gb|ADR82202.1| zeta-carotene desaturase [Auxenochlorella protothecoides]	18.9024251679372	NA	19.4775389147227	NA
Proline	Cluster-5318.1	Cluster-5318.1	1-pyrroline-5-carboxylate dehydrogenase [Cyanidioschyzon merolae strain 10D]>gi|449016293|dbj|BAM79695.1| 1-pyrroline-5-carboxylate dehydrogenase [Cyanidioschyzon merolae strain 10D]	18.5261209405782	NA	14.0951497389683	NA
Fatty Acids	Cluster-31803.108021	Cluster-31803.108021	fatty acyl delta4 desaturase [Chlamydomonas reinhardtii]	17.9315743400928	NA	19.0821308453477	NA
Carotenoids	Cluster-31803.18550	Cluster-31803.18550	phytoene desaturase [Auxenochlorella protothecoides]>gi|313870538|gb|ADR82200.1| phytoene desaturase [Auxenochlorella protothecoides]	17.1206125178544	NA	20.6141427655469	NA
Fatty Acids	Cluster-15582.0	Cluster-15582.0	fatty acid delta-6-desaturase [Lobosphaera incisa]	17.0950776065348	NA	19.6096422778045	NA
Fatty Acids	Cluster-21739.0	Cluster-21739.0	delta-6 elongase [Pyramimonas cordata]	16.8423135094305	NA	14.8727229693038	NA
Glycine betaine	Cluster-20785.0	Cluster-20785.0	"PREDICTED: choline monooxygenase, chloroplastic-like [Erythranthe guttatus]>gi|604298109|gb|EYU18197.1| hypothetical protein MIMGU_mgv1a006513mg [Erythranthe guttata]"	16.5356550791767	NA	0	NA
Fatty Acids	Cluster-31432.1	Cluster-31432.1	delta6 fatty acid desaturase putative [Albugo laibachii Nc14]	16.3321239860145	NA	0	NA
Glycine betaine	Cluster-31803.50620	Cluster-31803.50620	"Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]>gi|675352760|gb|KFM25200.1| Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]"	16.3321239860145	NA	0	NA
Fatty Acids	Cluster-20645.0	Cluster-20645.0	stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]>gi|452820173|gb|EME27219.1| stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]	15.8112994257368	NA	17.0950776065348	NA
