Pathway	GeneID	Symbol	Description	HL_vs_ML_log2FC	HL_vs_ML_padj
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.293948	0.557445
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.0998637	0.607848
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.141299	0.328626
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.261905	0.441136
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.552383	0.107585
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.125642	0.392374
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.0104395	0.965027
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.234865	0.492515
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.426863	0.00840466
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.22639	0.106325
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.152389	0.318042
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.170806	0.229051
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.23767	0.281041
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.208395	0.354399
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.500984	0.000736335
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.162932	0.685643
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.356115	0.536465
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.208241	0.257429
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.172199	0.220592
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.317238	0.336202
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.29256	0.395207
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.033361	0.832699
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.067441	0.728581
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.236931	0.457114
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.536937	0.000736335
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.246873	0.0735641
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.10102	0.52171
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.204648	0.145902
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.294669	0.171652
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.178675	0.403038
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.364991	0.0101155
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0853253	0.838739
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.650063	0.201174
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.108377	0.587869
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0309003	0.84713
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0553328	0.875353
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.0922809	0.535578
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0778805	0.681214
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.471795	0.135392
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.110074	0.538454
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.0204826	0.902022
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.0513689	0.762397
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0338417	0.840664
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.0569991	0.811663
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.38707	0.0594369
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.135994	0.411134
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.0776064	0.853653
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.472628	0.306855
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.143847	0.444278
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.241209	0.0734765
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.323008	0.327041
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-2.02728	0.00138519
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.470586	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.682842	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.240986	0.44617
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.348016	0.0302744
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.218224	0.120708
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.293929	0.0428143
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.583648	0.000202999
