Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
Photosynthesis	AGP50735	psbA	photosystem II protein D1	-0.6283	0.661923	0.4489	0.837875	-0.5052	0.730188	0.572	0.507266
Translation	AGP50737	rps16	ribosomal protein S16	-0.4834	0.670681	-0.412	0.748751	0.6133	0.50842	0.6847	0.482366
Photosynthesis	AGP50738	psbK	photosystem II protein K	-0.1171	0.87838	0.4745	0.748751	-0.3031	0.54837	0.2885	0.634154
Photosynthesis	AGP50739	psbI	photosystem II protein I	1.0469	0.573091	0.3217	0.930234	0.2831	0.825037	-0.4421	0.846101
Photosynthesis	AGP50740	psbD	photosystem II protein D2	-0.8543	0.616184	-0.0433	0.967867	0.1297	0.834753	0.9408	0.458192
Jasmonate_JA	AGP50741	psbC	photosystem II CP43 chlorophyll apoprotein	-0.8865	0.613338	-0.0441	0.975526	0.4739	0.605082	1.3163	0.400318
Photosynthesis	AGP50742	psbZ	photosystem II protein Z	-0.8347	0.574748	0.5608	0.748751	0.0642	0.957938	1.4598	0.209284
Photosynthesis	AGP50743	psbM	photosystem II protein M	-0.4132	0.589865	-0.3151	0.748751	0.0371	0.909778	0.1352	0.729972
ABA	AGP50745	rpoB	RNA polymerase beta subunit	-0.2883	0.670681	0.4322	0.748751	-0.3444	0.586854	0.3761	0.532766
ABA	AGP50746	rpoC1	RNA polymerase beta	-0.703	0.670681	0.5017	0.748751	-0.9898	0.496118	0.2149	0.79268
ABA	AGP50747	rpoC2	RNA polymerase beta' subunit	-0.5585	0.635913	0.3075	0.748751	-0.5922	0.359447	0.2738	0.660872
Translation	AGP50748	rps2	ribosomal protein S2	0.8083	0.57618	1.2293	0.748751	-0.1443	0.911939	0.2767	0.782358
Translation	AGP50753	rps14	ribosomal protein S14	-0.7561	0.670681	-0.3008	0.815001	0.5751	0.581461	1.0304	0.538163
Jasmonate_JA	AGP50754	psaB	photosystem I P700 apoprotein A2	-1.0226	0.612735	0.3153	0.848313	-0.211	0.83942	1.1269	0.45818
Jasmonate_JA	AGP50755	psaA	photosystem I P700 apoprotein A1	-1.2465	0.589865	0.2992	0.859388	-0.421	0.70415	1.1248	0.449346
Photosynthesis	AGP50756	ycf3	hypothetical chloroplast RF34	0.3604	0.670681	0.2922	0.84104	0.342	0.705615	0.2739	0.518162
Translation	AGP50757	rps4	ribosomal protein S4	-0.5248	0.648907	0.4585	0.748751	-0.9746	0.479677	0.0087	0.984275
Photosynthesis	AGP50758	ndhJ	NADH-plastoquinone oxidoreductase subunit J	-0.1744	0.8091	-0.494	0.770538	0.9839	0.440072	0.6642	0.432052
Photosynthesis	AGP50759	ndhK	NADH-plastoquinone oxidoreductase subunit K	-0.1472	0.846727	-0.2576	0.765821	0.3796	0.52929	0.2692	0.663621
Photosynthesis	AGP50760	ndhC	NADH-plastoquinone oxidoreductase subunit 3	-0.2656	0.670681	-0.1736	0.804105	-0.2281	0.662499	-0.136	0.72861
Photosynthesis	AGP50761	atpE	ATP synthase CF1 epsilon subunit	-0.1824	0.795722	0.6702	0.757123	-0.4656	0.711039	0.387	0.455073
Photosynthesis	AGP50764	psaI	photosystem I subunit VIII	0.2361	0.753181	1.0978	0.748751	0.0388	0.941774	0.9006	0.4225
