Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange	g4_g3.p-value	g4_g3.log2foldchange	g6_g5.p-value	g6_g5.log2foldchange	g8_g7.p-value	g8_g7.log2foldchange
CHLRE_01g000017v5		0.258671346583147	-0.5	0.20505916476077	0.6	0.254680470196682	0.5	0.123172058374645	-0.6
CHLRE_01g000033v5		0.106045787621943	0.7	0.00185396870086718	1.5	5.16830400909749e-22	4.1	4.47722851370547e-06	1.6
CHLRE_01g000050v5		0.0361058518164432	0.4	0.129785696284369	0.3	0.337627948921391	-0.2	0.279937953799063	0.2
CHLRE_01g000100v5		0.00622162440399708	-0.6	0.86891289540707	0.1	0.0808498073485967	-0.4	0.0155527673458116	-0.4
CHLRE_01g000150v5		4.98754262734743e-42	-4.1	3.81135441499929e-18	-4.4	0.032026115794622	-2.1	0.354078214948843	-0.4
CHLRE_01g000200v5		3.2347461936651e-05	-0.8	1.10223628760525e-07	-1	0.234915625363714	-0.3	0.112390576656615	-0.3
CHLRE_01g000250v5		1.08393794579429e-06	-1	1.52012516925115e-09	-1.1	8.07917942114391e-07	-2.1	0.0598821029100296	-0.3
CHLRE_01g000300v5		0.0620081083980201	-0.4	0.0269850512428429	-0.6	0.000242623198644322	-1.8	0.151617466921596	0.3
CHLRE_01g000350v5		0.0035839093816891	-0.8	3.51002368006476e-11	-1	0.0579434414705648	-0.3	0.342401430751347	-0.2
CHLRE_01g000400v5		0.132217876787319	0.3	0.00377701205786356	0.8	0.457036663123559	-0.2	0.80186733784244	-0.1
CHLRE_01g000450v5		0.0203352923066959	-0.5	0.0380266759456855	-0.4	0.661455861556644	0.1	0.802064269086466	0.1
CHLRE_01g000500v5		0.40527333895536	-0.4	0.771524327739244	0.2	0.979321896384575	0	0.654482212166177	-0.2
CHLRE_01g000550v5		0.00848837062461646	-1.5	0.967048095038396	0	0.0955575470452086	-0.8	0.441180287086004	-0.6
CHLRE_01g000600v5		0.00700062491225441	0.5	0.0555465740537305	-0.6	0.109273077944091	-0.5	3.61128393161008e-05	0.8
CHLRE_01g000650v5		0.154581542182222	-0.3	0.0567847943337827	0.7	0.359498961804179	0.3	0.00153546841195013	0.5
CHLRE_01g000700v5		0.308778228627833	0.3	0.994771908088211	0	0.00868796897981417	0.6	0.481377356943193	0.2
CHLRE_01g000750v5		0.416999675446864	-0.2	0.460070084448123	-0.2	0.507902489849322	-0.2	0.00225643032879418	-0.6
CHLRE_01g000800v5		1.40087195722497e-05	-1.1	0.000171637060409791	-1.1	0.433777170980347	-0.3	0.314895713038582	-0.4
CHLRE_01g000850v5		2.00712396434661e-06	-0.8	6.08711016482578e-05	-0.7	0.640788957247833	0.1	0.350652859710926	-0.2
CHLRE_01g000900v5		0.0193992637242077	0.4	0.000705067795327731	1.1	0.500899758634784	-0.2	5.75950085376093e-07	-0.8
CHLRE_01g000950v5		0.007664437761295	-1.1	0.170032930678509	-0.6	0.194072866395503	-0.5	0.864300334488979	-0.1
CHLRE_01g001000v5		0.188761200874206	0.6	3.89159712235709e-24	4.8	8.56959283582652e-25	6	0.0255146654957191	0.5
CHLRE_01g001100v5		0.0750193902171247	0.4	0.406771203678918	0.2	0.485007450159638	0.2	0.470410560032404	0.1
CHLRE_01g001150v5		0.00356643153933837	0.5	0.0311160887215359	0.4	0.406702583163373	0.2	0.676241108725389	0.1
CHLRE_01g001200v5		0.00368954641478197	0.9	3.09157610760423e-08	1.5	4.67319011823857e-13	2.5	0.712185877902495	-0.1
CHLRE_01g001250v5		3.21543652862656e-18	3.7	2.25293068617896e-15	4.2	3.98831309736115e-19	2.8	0.000800602964345261	1.3
CHLRE_01g001300v5		7.44583773757781e-17	2.9	5.61391227378512e-08	3	2.53829959843423e-47	5	1.73976961046676e-16	2.9
CHLRE_01g001350v5		2.04338867558775e-08	1	0.00212004875133933	0.8	0.00701699895349347	0.8	2.61465441003067e-05	0.9
CHLRE_01g001400v5		1.06413907539135e-20	3	7.38709486654658e-44	3.7	0.0355124104878985	1	1.96561626397035e-05	1.1
CHLRE_01g001450v5		0.00204064706924581	1	0.00135344357479142	1.2	3.02518891036878e-06	1.3	0.858661972361505	0.1
CHLRE_01g001501v5		0.475440653836366	0.2	0.457987235112023	-0.3	0.222810755239381	0.3	0.054066951242336	0.7
CHLRE_01g001550v5		1.37148102745354e-05	-0.7	2.13027488965988e-08	-1.1	0.776739339554528	-0.1	0.263071944122763	-0.2
CHLRE_01g001600v5		0.16811394065267	-0.4	0.799296090078167	-0.1	0.332129326775849	0.3	3.21114946994727e-06	-1
CHLRE_01g001650v5		0.00706104438033934	1	0.610489630547697	0.3	0.0286345541075609	1.1	0.761915121010931	-0.2
CHLRE_01g001657v5		1.25739615320321e-10	-1.7	2.86727444575417e-07	-1.7	0.170052425828882	-0.3	0.106325948496135	-0.4
CHLRE_01g001664v5		0.000169564874642704	-0.7	0.158598272259821	-0.4	0.769376808861934	0.1	0.21707224085785	0.3
CHLRE_01g001671v5		NA	-0.1	0.921639032237246	0.2	NA	-0.5	0.937329277474591	0
CHLRE_01g001678v5		0.104824895479148	-0.3	0.013904902750397	-0.4	0.619941902728419	-0.1	0.00193910744514607	-0.5
CHLRE_01g001685v5		NA	0	NA	0.2	NA	0.2	NA	0
CHLRE_01g001700v5		0.0137536708537181	0.9	0.371123954873492	0.5	0.744700865795966	-0.2	0.0598161178862152	-0.5
CHLRE_01g001750v5		0.0124532651894541	-0.4	0.00500458887375143	-0.9	0.633780296767974	-0.2	0.884571231197517	0
CHLRE_01g001800v5		0.198411186359795	0.3	0.429128356001525	0.2	0.144258846131029	0.3	0.00510729266763073	-0.4
CHLRE_01g001950v5		0.867668803970768	0	0.983120918466234	0	0.959648184466133	0	0.0123230124879078	0.5
CHLRE_01g001983v5		0.795882650954041	-0.1	0.64918726094538	-0.2	0.0839527280641089	-0.9	0.00212837831319636	0.5
