Gene.ID	g2_g1	g4_g3	g6_g5	g8_g7
CHLRE_01g000017v5	48	50	50	63
CHLRE_01g000033v5	65	83	96	93
CHLRE_01g000050v5	41	31	23	27
CHLRE_01g000100v5	54	5	36	50
CHLRE_01g000150v5	98	96	89	50
CHLRE_01g000200v5	67	72	33	35
CHLRE_01g000250v5	77	74	90	38
CHLRE_01g000300v5	44	52	88	35
CHLRE_01g000350v5	69	72	32	26
CHLRE_01g000400v5	29	64	18	9
CHLRE_01g000450v5	52	40	10	9
CHLRE_01g000500v5	42	15	1	27
CHLRE_01g000550v5	88	4	64	61
CHLRE_01g000600v5	47	49	47	73
CHLRE_01g000650v5	34	59	29	60
CHLRE_01g000700v5	28	0	55	28
CHLRE_01g000750v5	18	18	23	65
CHLRE_01g000800v5	80	75	34	46
CHLRE_01g000850v5	66	60	7	24
CHLRE_01g000900v5	42	74	19	74
CHLRE_01g000950v5	79	50	48	16
CHLRE_01g001000v5	53	97	98	59
CHLRE_01g001100v5	36	23	25	17
CHLRE_01g001150v5	51	39	16	12
CHLRE_01g001200v5	73	84	92	17
CHLRE_01g001250v5	98	96	93	89
CHLRE_01g001300v5	97	93	97	98
CHLRE_01g001350v5	78	65	66	78
CHLRE_01g001400v5	97	95	72	83
CHLRE_01g001450v5	76	78	81	8
CHLRE_01g001501v5	24	24	34	70
CHLRE_01g001550v5	65	75	9	28
CHLRE_01g001600v5	36	11	31	80
CHLRE_01g001650v5	75	27	77	28
CHLRE_01g001657v5	90	86	36	50
CHLRE_01g001664v5	61	34	11	37
CHLRE_01g001671v5	5	15	49	7
CHLRE_01g001678v5	29	40	10	59
CHLRE_01g001685v5	NA	17	20	NA
CHLRE_01g001700v5	73	41	24	56
CHLRE_01g001750v5	43	66	23	4
CHLRE_01g001800v5	27	15	35	49
CHLRE_01g001950v5	4	0	2	57
CHLRE_01g001983v5	5	19	70	53
CHLRE_01g002050v5	20	37	86	73
CHLRE_01g002100v5	50	26	34	70
CHLRE_01g002150v5	73	99	99	90
CHLRE_01g002200v5	12	9	18	28
CHLRE_01g002201v5	14	57	41	19
CHLRE_01g002203v5	3	55	28	43
CHLRE_01g002227v5	61	71	67	60
CHLRE_01g002234v5	31	54	51	15
CHLRE_01g002250v5	57	61	42	15
CHLRE_01g002300v5	77	52	60	56
CHLRE_01g002350v5	21	6	16	4
CHLRE_01g002400v5	85	8	33	57
CHLRE_01g002451v5	51	26	55	46
CHLRE_01g002500v5	65	62	48	45
CHLRE_01g002550v5	70	71	43	43
CHLRE_01g002600v5	22	78	70	68
CHLRE_01g002650v5	67	94	95	95
CHLRE_01g002700v5	38	46	54	5
CHLRE_01g002750v5	91	83	77	80
CHLRE_01g002787v5	68	79	17	70
CHLRE_01g002824v5	70	70	54	52
CHLRE_01g002861v5	16	76	48	40
CHLRE_01g002900v5	36	4	87	98
CHLRE_01g002950v5	24	26	15	26
CHLRE_01g003000v5	0	42	19	43
CHLRE_01g003050v5	65	56	43	63
CHLRE_01g003100v5	57	89	16	50
CHLRE_01g003150v5	19	2	43	42
CHLRE_01g003200v5	55	36	47	31
CHLRE_01g003250v5	9	NA	54	NA
CHLRE_01g003300v5	57	NA	81	91
CHLRE_01g003376v5	36	51	57	88
CHLRE_01g003450v5	9	10	22	60
CHLRE_01g003463v5	10	77	83	47
CHLRE_01g003475v5	98	95	92	96
CHLRE_01g003487v5	56	14	43	39
CHLRE_01g003500v5	26	6	22	46
CHLRE_01g003508v5	10	4	42	87
CHLRE_01g003516v5	50	18	32	90
CHLRE_01g003524v5	28	33	53	82
CHLRE_01g003532v5	26	34	72	74
CHLRE_01g003541v5	30	79	7	7
CHLRE_01g003550v5	84	61	2	45
CHLRE_01g003600v5	76	1	84	83
CHLRE_01g003650v5	59	66	15	51
CHLRE_01g003700v5	74	78	57	66
CHLRE_01g003751v5	93	91	86	95
CHLRE_01g003800v5	2	51	78	15
CHLRE_01g003826v5	70	78	68	41
CHLRE_01g003850v5	97	91	77	91
CHLRE_01g003950v5	99	95	94	99
CHLRE_01g004000v5	35	37	2	32
CHLRE_01g004050v5	78	85	64	96
CHLRE_01g004124v5	58	23	10	20
CHLRE_01g004157v5	81	18	60	58
CHLRE_01g004200v5	67	62	68	17
CHLRE_01g004250v5	14	54	85	73
CHLRE_01g004300v5	32	65	25	80
CHLRE_01g004350v5	72	34	44	64
CHLRE_01g004400v5	69	90	90	2
CHLRE_01g004450v5	66	36	41	51
CHLRE_01g004500v5	37	86	65	54
CHLRE_01g004550v5	15	26	6	91
CHLRE_01g004600v5	35	78	1	35
CHLRE_01g004651v5	93	85	63	68
CHLRE_01g004700v5	82	78	16	44
CHLRE_01g004750v5	88	90	74	37
CHLRE_01g004800v5	55	48	17	15
CHLRE_01g004850v5	46	52	66	67
CHLRE_01g004900v5	82	43	5	92
CHLRE_01g004926v5	48	80	88	24
CHLRE_01g004950v5	74	65	55	51
CHLRE_01g005001v5	73	70	59	37
CHLRE_01g005050v5	19	51	18	33
CHLRE_01g005100v5	62	35	11	50
CHLRE_01g005126v5	NA	44	NA	NA
CHLRE_01g005150v5	82	4	37	85
CHLRE_01g005200v5	80	60	72	91
CHLRE_01g005250v5	NA	NA	NA	NA
CHLRE_01g005300v5	28	7	73	NA
CHLRE_01g005350v5	NA	17	61	NA
CHLRE_01g005400v5	36	86	86	88
CHLRE_01g005450v5	38	63	88	76
CHLRE_01g005500v5	38	39	56	71
CHLRE_01g005534v5	57	12	66	78
CHLRE_01g005543v5	74	NA	83	91
CHLRE_01g005550v5	31	12	0	25
CHLRE_01g005600v5	20	10	38	43
CHLRE_01g005651v5	69	92	49	7
CHLRE_01g005701v5	95	94	91	91
CHLRE_01g005750v5	30	11	47	69
CHLRE_01g005813v5	34	21	82	65
CHLRE_01g005850v5	32	42	38	53
CHLRE_01g005900v5	32	18	7	51
CHLRE_01g005950v5	83	77	5	39
CHLRE_01g006000v5	30	27	20	5
CHLRE_01g006050v5	42	7	28	39
CHLRE_01g006100v5	75	82	68	39
CHLRE_01g006150v5	51	66	53	20
CHLRE_01g006202v5	69	38	47	23
CHLRE_01g006250v5	19	17	NA	NA
CHLRE_01g006301v5	87	67	56	64
CHLRE_01g006352v5	63	34	37	28
CHLRE_01g006402v5	NA	17	NA	NA
CHLRE_01g006450v5	NA	NA	32	7
CHLRE_01g006500v5	NA	NA	NA	NA
CHLRE_01g006550v5	NA	NA	20	NA
CHLRE_01g006576v5	9	39	20	7
CHLRE_01g006600v5	NA	NA	20	NA
CHLRE_01g006614v5	NA	NA	NA	NA
CHLRE_01g006628v5	NA	NA	NA	NA
CHLRE_01g006642v5	NA	NA	NA	NA
CHLRE_01g006656v5	NA	NA	NA	NA
CHLRE_01g006670v5	62	47	32	40
CHLRE_01g006700v5	NA	NA	NA	NA
CHLRE_01g006733v5	NA	NA	NA	NA
CHLRE_01g006766v5	92	92	94	93
CHLRE_01g006800v5	50	24	3	13
CHLRE_01g006850v5	79	83	88	51
CHLRE_01g006876v5	27	46	49	20
CHLRE_01g006900v5	83	68	65	87
CHLRE_01g006950v5	83	88	25	75
CHLRE_01g007000v5	74	40	12	78
CHLRE_01g007050v5	50	41	30	16
CHLRE_01g007051v5	55	61	12	26
CHLRE_01g007100v5	41	12	13	45
CHLRE_01g007150v5	14	51	50	69
CHLRE_01g007200v5	52	36	4	48
CHLRE_01g007251v5	95	81	1	69
CHLRE_01g007300v5	55	66	65	41
CHLRE_01g007350v5	76	97	97	58
CHLRE_01g007400v5	44	61	39	15
CHLRE_01g007450v5	11	91	70	2
CHLRE_01g007500v5	75	50	36	94
CHLRE_01g007550v5	73	35	33	8
CHLRE_01g007600v5	97	94	82	83
CHLRE_01g007651v5	8	62	56	55
CHLRE_01g007700v5	73	70	54	52
CHLRE_01g007737v5	35	6	16	37
CHLRE_01g007774v5	20	49	22	19
CHLRE_01g007811v5	79	95	71	88
CHLRE_01g007850v5	59	36	3	61
CHLRE_01g007901v5	23	59	58	75
CHLRE_01g007950v5	25	84	79	61
CHLRE_01g008000v5	19	8	10	13
CHLRE_01g008051v5	42	40	6	38
CHLRE_01g008100v5	17	31	92	20
CHLRE_01g008150v5	92	51	46	85
CHLRE_01g008200v5	18	13	10	28
CHLRE_01g008250v5	74	91	26	37
CHLRE_01g008300v5	47	66	12	96
CHLRE_01g008350v5	95	90	22	2
CHLRE_01g008402v5	43	76	80	86
CHLRE_01g008450v5	71	89	82	69
CHLRE_01g008500v5	12	17	43	85
CHLRE_01g008550v5	11	73	85	7
CHLRE_01g008600v5	37	38	69	17
CHLRE_01g008650v5	21	2	54	28
CHLRE_01g008700v5	16	51	56	86
CHLRE_01g008750v5	56	90	76	46
CHLRE_01g008800v5	77	25	34	80
CHLRE_01g008850v5	69	0	70	13
CHLRE_01g008891v5	41	18	49	13
CHLRE_01g008900v5	58	6	42	56
CHLRE_01g008950v5	76	88	61	79
CHLRE_01g008976v5	82	82	78	4
CHLRE_01g009000v5	36	7	52	70
CHLRE_01g009025v5	63	55	47	28
CHLRE_01g009050v5	1	16	83	95
CHLRE_01g009101v5	75	57	17	75
CHLRE_01g009150v5	12	59	78	81
CHLRE_01g009200v5	89	85	72	29
CHLRE_01g009250v5	79	98	99	84
CHLRE_01g009300v5	14	40	18	33
CHLRE_01g009325v5	65	92	98	4
CHLRE_01g009350v5	79	65	71	64
CHLRE_01g009400v5	73	88	74	64
CHLRE_01g009450v5	4	41	45	1
CHLRE_01g009500v5	89	56	8	97
CHLRE_01g009550v5	70	6	48	84
CHLRE_01g009575v5	90	18	91	96
CHLRE_01g009601v5	92	68	68	81
CHLRE_01g009650v5	81	80	68	78
CHLRE_01g009676v5	50	70	60	55
CHLRE_01g009700v5	52	71	49	56
CHLRE_01g009731v5	51	15	34	14
CHLRE_01g009765v5	56	90	42	96
CHLRE_01g009800v5	84	78	89	83
CHLRE_01g009850v5	85	85	92	69
CHLRE_01g009900v5	76	28	33	37
CHLRE_01g009950v5	0	69	50	57
CHLRE_01g010000v5	27	23	1	5
CHLRE_01g010050v5	28	14	38	1
CHLRE_01g010100v5	21	62	70	34
CHLRE_01g010150v5	38	44	32	53
CHLRE_01g010201v5	51	21	21	61
CHLRE_01g010250v5	5	89	81	28
CHLRE_01g010296v5	84	99	99	94
CHLRE_01g010300v5	60	97	97	95
CHLRE_01g010350v5	17	23	41	44
CHLRE_01g010400v5	71	9	85	81
CHLRE_01g010450v5	56	65	65	39
CHLRE_01g010500v5	78	50	8	17
CHLRE_01g010550v5	83	46	76	90
CHLRE_01g010650v5	24	2	24	41
CHLRE_01g010700v5	8	6	29	40
CHLRE_01g010750v5	66	57	79	28
CHLRE_01g010800v5	71	64	54	74
CHLRE_01g010816v5	74	93	90	75
CHLRE_01g010832v5	79	60	87	59
CHLRE_01g010848v5	44	51	12	20
CHLRE_01g010864v5	66	78	58	55
CHLRE_01g010880v5	55	31	64	4
CHLRE_01g010900v5	86	77	78	86
CHLRE_01g010950v5	50	68	11	31
CHLRE_01g011000v5	48	64	5	14
CHLRE_01g011050v5	18	27	72	10
CHLRE_01g011100v5	30	11	53	12
CHLRE_01g011150v5	97	98	40	93
CHLRE_01g011200v5	14	10	41	34
CHLRE_01g011250v5	69	97	98	36
CHLRE_01g011300v5	19	83	76	58
CHLRE_01g011350v5	30	47	30	30
CHLRE_01g011376v5	95	87	83	93
CHLRE_01g011400v5	59	36	62	32
CHLRE_01g011450v5	64	76	74	62
CHLRE_01g011500v5	7	5	3	50
CHLRE_01g011550v5	93	87	93	12
CHLRE_01g011600v5	85	76	30	64
CHLRE_01g011630v5	52	53	53	48
CHLRE_01g011660v5	60	61	73	96
CHLRE_01g011750v5	28	47	65	11
CHLRE_01g011800v5	96	97	90	87
