experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 0	CHLRE_09g394325v5	0.1369	1	fpkms	184	Cre09.g394325	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_09g394325v5	NULL	NULL	fpkms	1	Cre09.g394325	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_09g394325v5	NULL	NULL	fpkms	0.8	Cre09.g394325	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_09g394325v5	NULL	NULL	fpkms	15	Cre09.g394325	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_09g394325v5	NULL	NULL	fpkms	25	Cre09.g394325	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_09g394325v5	NULL	NULL	fpkms	20	Cre09.g394325	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_09g394325v5	NULL	NULL	fpkms	9	Cre09.g394325	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_09g394325v5	NULL	NULL	fpkms	0.9	Cre09.g394325	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_14g615350v5	0.2613	2	fpkms	2	Cre14.g615350	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_14g615350v5	NULL	NULL	fpkms	0	Cre14.g615350	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_14g615350v5	NULL	NULL	fpkms	0	Cre14.g615350	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_14g615350v5	NULL	NULL	fpkms	0.3	Cre14.g615350	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_14g615350v5	NULL	NULL	fpkms	0.2	Cre14.g615350	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_14g615350v5	NULL	NULL	fpkms	0.6	Cre14.g615350	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_14g615350v5	NULL	NULL	fpkms	0.3	Cre14.g615350	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_14g615350v5	NULL	NULL	fpkms	0.1	Cre14.g615350	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_17g728350v5	0.2686	3	fpkms	1	Cre17.g728350	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_17g728350v5	NULL	NULL	fpkms	0	Cre17.g728350	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_17g728350v5	NULL	NULL	fpkms	0	Cre17.g728350	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_17g728350v5	NULL	NULL	fpkms	0.1	Cre17.g728350	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_17g728350v5	NULL	NULL	fpkms	0.3	Cre17.g728350	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_17g728350v5	NULL	NULL	fpkms	0.3	Cre17.g728350	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_17g728350v5	NULL	NULL	fpkms	0.3	Cre17.g728350	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_17g728350v5	NULL	NULL	fpkms	0.2	Cre17.g728350	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_10g464900v5	0.2842	4	fpkms	12	Cre10.g464900	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_10g464900v5	NULL	NULL	fpkms	0.3	Cre10.g464900	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_10g464900v5	NULL	NULL	fpkms	0.7	Cre10.g464900	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_10g464900v5	NULL	NULL	fpkms	3	Cre10.g464900	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_10g464900v5	NULL	NULL	fpkms	2	Cre10.g464900	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_10g464900v5	NULL	NULL	fpkms	3	Cre10.g464900	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_10g464900v5	NULL	NULL	fpkms	3	Cre10.g464900	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_10g464900v5	NULL	NULL	fpkms	0.6	Cre10.g464900	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_17g709750v5	NULL	NULL	fpkms	0	Cre17.g709750	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_17g709750v5	0.2046	1	fpkms	7	Cre17.g709750	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_17g709750v5	NULL	NULL	fpkms	1	Cre17.g709750	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_17g709750v5	NULL	NULL	fpkms	0.1	Cre17.g709750	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_17g709750v5	NULL	NULL	fpkms	0.2	Cre17.g709750	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_17g709750v5	NULL	NULL	fpkms	0	Cre17.g709750	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_17g709750v5	NULL	NULL	fpkms	0.1	Cre17.g709750	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_17g709750v5	NULL	NULL	fpkms	0.4	Cre17.g709750	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_06g270450v5	NULL	NULL	fpkms	2	Cre06.g270450	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_06g270450v5	0.2333	2	fpkms	35	Cre06.g270450	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_06g270450v5	NULL	NULL	fpkms	6	Cre06.g270450	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_06g270450v5	NULL	NULL	fpkms	0.9	Cre06.g270450	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_06g270450v5	NULL	NULL	fpkms	3	Cre06.g270450	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_06g270450v5	NULL	NULL	fpkms	4	Cre06.g270450	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_06g270450v5	NULL	NULL	fpkms	8	Cre06.g270450	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g270450v5	NULL	NULL	fpkms	5	Cre06.g270450	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_04g217941v5	NULL	NULL	fpkms	0	Cre04.g217941	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_04g217941v5	0.2446	3	fpkms	1	Cre04.g217941	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_04g217941v5	NULL	NULL	fpkms	0.1	Cre04.g217941	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_04g217941v5	NULL	NULL	fpkms	0	Cre04.g217941	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_04g217941v5	NULL	NULL	fpkms	0.1	Cre04.g217941	g5
