GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8
CHLRE_01g000017v5		1,1,1,2,2	3,3,3,3,4	3,3,3,3,3	2,2,2,2,2	3,3,3,3,3	1,1,1,2,2	1,1,1,1,1	2,2,2,2,2
CHLRE_01g000033v5		0.4,0.5,0.6,0.7,0.8	0.2,0.3,0.3,0.4,0.4	0.8,0.9,1,1,1	1,1,1,1,1	1,1,2,2,2	0.6,0.6,0.7,0.8,0.9	0.2,0.2,0.3,0.3,0.3	0.1,0.1,0.1,0.1,0.2
CHLRE_01g000050v5		5,5,5,5,5	6,6,6,6,6	2,2,2,2,2	2,2,2,2,2	4,4,4,4,4	6,6,6,6,6	5,6,6,6,6	4,4,5,5,5
CHLRE_01g000100v5		3,3,3,3,3	4,4,4,4,4	2,2,2,2,2	2,2,2,2,3	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	2,2,2,2,2
CHLRE_01g000150v5		0.2,0.2,0.2,0.2,0.2	0.5,0.6,0.6,0.6,0.7	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.3,0.3,0.3	0,0,0,0,0	0.1,0.1,0.1,0.1,0.2	0.1,0.1,0.1,0.1,0.2	2,2,3,3,3
CHLRE_01g000200v5		7,7,7,8,8	7,7,7,7,7	5,5,6,6,6	6,6,6,6,6	7,7,7,7,7	6,6,6,6,6	6,6,7,7,7	5,5,5,5,5
CHLRE_01g000250v5		14,15,15,15,15	11,11,12,12,12	12,12,13,13,13	16,17,18,19,20	12,12,12,12,12	16,16,16,16,16	15,15,15,16,16	14,14,14,15,15
CHLRE_01g000300v5		22,22,23,23,23	10,10,10,11,11	12,12,12,12,12	14,14,14,14,14	18,19,19,19,19	14,15,15,15,15	13,13,13,14,14	16,17,17,17,18
CHLRE_01g000350v5		25,25,25,25,25	18,18,18,18,18	29,29,30,30,30	42,44,46,47,49	26,26,26,26,27	21,22,22,22,23	22,22,23,24,25	21,22,24,25,27
CHLRE_01g000400v5		5,5,5,5,5	19,19,20,20,20	8,8,8,8,8	5,5,5,5,5	9,9,9,9,9	7,7,7,7,7	7,7,7,7,8	12,13,13,13,13
CHLRE_01g000450v5		5,6,6,6,6	8,8,8,8,8	5,5,5,5,5	6,6,6,6,6	8,8,8,8,8	5,5,5,5,5	6,6,6,7,7	4,5,5,5,6
CHLRE_01g000500v5		0.8,0.8,0.8,0.8,0.9	0.4,0.4,0.4,0.4,0.4	0.3,0.3,0.4,0.4,0.5	2,2,2,2,2	0.5,0.6,0.7,0.8,0.9	0.4,0.5,0.5,0.6,0.6	0.6,0.6,0.6,0.6,0.6	0.1,0.2,0.2,0.2,0.2
CHLRE_01g000550v5		0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0.4,0.4,0.4,0.4,0.4	0.4,0.4,0.5,0.5,0.5
CHLRE_01g000600v5		12,12,13,13,13	9,9,10,10,10	1,1,1,1,1	5,6,6,6,6	3,3,3,4,4	15,15,16,16,17	18,19,20,21,22	14,16,17,18,19
CHLRE_01g000650v5		4,4,4,5,5	1,1,2,2,2	0.6,0.6,0.6,0.7,0.7	0.6,0.6,0.6,0.6,0.7	19,19,19,20,20	5,5,5,6,6	7,8,8,9,10	16,16,16,16,16
CHLRE_01g000700v5		1,1,1,1,2	0.9,1,1,1,1	1,1,1,1,1	1,1,1,1,1	1,1,1,2,2	1,1,1,1,1	0.9,1,1,1,1	1,1,1,1,1
CHLRE_01g000750v5		8,8,8,9,9	3,3,3,3,3	3,3,3,3,3	4,5,5,5,5	7,8,8,8,8	6,6,6,6,6	6,6,6,7,7	3,3,3,3,3
CHLRE_01g000800v5		3,3,4,4,4	2,2,2,2,3	3,3,3,3,3	5,5,5,5,5	2,3,3,3,3	2,2,3,3,3	1,1,1,1,1	2,2,2,2,2
CHLRE_01g000850v5		51,52,52,53,53	15,15,16,16,16	24,24,24,25,25	69,70,72,73,75	30,31,31,32,33	47,48,49,50,51	41,41,42,42,43	50,50,51,52,52
CHLRE_01g000900v5		85,88,91,94,98	17,18,19,20,20	26,28,29,30,31	32,32,33,34,35	94,94,94,95,95	58,58,58,58,58	79,80,81,82,83	26,26,27,27,27
CHLRE_01g000950v5		0.2,0.2,0.2,0.2,0.2	1,1,1,1,1	0.4,0.4,0.4,0.4,0.4	0.6,0.6,0.6,0.6,0.6	0.3,0.3,0.3,0.4,0.4	0.4,0.4,0.4,0.5,0.5	0.3,0.4,0.6,0.7,0.8	1,1,1,1,1
CHLRE_01g001000v5		1,1,1,1,2	3,3,3,3,3	0,0,0,0,0	0,0,0,0,0	0.3,0.3,0.4,0.4,0.5	5,5,5,5,6	5,5,5,6,6	9,9,9,9,9
CHLRE_01g001100v5		46,46,46,47,47	63,66,68,70,72	43,44,44,45,45	25,26,26,27,28	42,43,44,45,46	53,54,56,57,59	53,56,58,60,62	72,73,74,75,76
CHLRE_01g001150v5		3,3,4,4,4	4,4,4,4,4	3,3,3,3,3	3,3,3,3,3	4,4,4,5,5	3,3,3,3,3	4,4,4,4,4	3,3,3,4,4
CHLRE_01g001200v5		3,4,4,4,4	2,2,2,2,2	3,3,3,3,3	4,5,5,5,5	5,5,5,5,5	2,2,2,2,2	2,2,2,2,2	0.7,0.7,0.8,0.8,0.8
CHLRE_01g001250v5		0.3,0.3,0.3,0.3,0.4	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.3,0.3,0.3	0.3,0.4,0.4,0.4,0.4	0.2,0.3,0.3,0.3,0.3	0.3,0.3,0.3,0.3,0.3	0.1,0.1,0.1,0.1,0.1
CHLRE_01g001300v5		0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1
CHLRE_01g001350v5		3,3,3,3,3	3,4,4,4,4	1,2,2,2,2	1,1,1,1,2	2,3,3,3,3	3,3,3,4,4	5,5,5,5,5	6,6,6,6,6
CHLRE_01g001400v5		21,22,23,24,25	3,3,4,4,5	2,2,3,3,3	4,5,5,5,5	10,10,11,11,11	18,19,20,21,21	23,26,29,32,35	54,56,58,61,63
CHLRE_01g001450v5		6,6,6,6,6	0.6,0.6,0.6,0.6,0.6	0.3,0.3,0.3,0.4,0.4	0.5,0.5,0.5,0.6,0.6	2,2,2,2,2	10,10,10,10,10	10,10,10,10,11	7,7,7,8,8
CHLRE_01g001501v5		2,2,2,2,2	0.7,0.8,0.8,0.9,0.9	0.1,0.1,0.1,0.2,0.2	0.8,0.8,0.8,0.8,0.8	0.8,0.8,0.9,0.9,1	2,2,2,2,2	2,2,2,2,2	0.8,0.8,0.9,0.9,0.9
CHLRE_01g001550v5		35,35,36,36,37	5,5,5,6,6	7,8,8,8,8	30,31,31,32,32	18,18,19,19,20	27,28,29,31,32	23,23,23,23,23	11,12,13,14,15
CHLRE_01g001600v5		4,4,5,5,6	5,5,5,5,5	5,5,5,5,5	2,2,3,3,3	10,10,11,11,11	4,4,4,4,4	6,6,6,6,6	2,2,2,2,2
CHLRE_01g001650v5		2,2,2,2,2	0.4,0.4,0.4,0.5,0.5	0.2,0.2,0.2,0.2,0.3	0.5,0.5,0.5,0.5,0.6	0.8,0.8,0.8,0.8,0.8	0.9,0.9,1,1,1	1,1,1,1,1	0.3,0.4,0.6,0.7,0.8
CHLRE_01g001657v5		13,13,14,14,14	18,18,18,19,19	14,15,15,16,17	14,15,16,16,17	11,12,13,14,15	10,10,10,11,11	10,10,10,11,11	12,12,13,13,13
CHLRE_01g001664v5		4,4,4,4,4	10,10,10,10,11	6,6,6,6,6	7,7,8,8,8	4,4,5,5,5	6,7,7,7,7	6,6,6,7,7	3,4,4,4,5
CHLRE_01g001671v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0
CHLRE_01g001678v5		13,13,13,13,13	10,10,10,10,10	8,9,9,9,9	8,8,8,8,8	21,21,21,21,21	12,12,12,12,13	13,13,13,14,14	8,8,8,8,8
CHLRE_01g001685v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
CHLRE_01g001700v5		2,2,2,2,2	1,1,1,2,2	3,3,3,4,4	4,4,4,4,4	4,4,4,4,4	0.6,0.6,0.6,0.7,0.7	0.4,0.4,0.4,0.5,0.5	0.5,0.5,0.5,0.5,0.5
CHLRE_01g001750v5		26,27,28,28,29	21,22,22,22,22	6,6,7,7,7	25,26,26,26,26	14,14,14,14,14	30,30,30,30,31	25,26,26,27,28	33,34,35,36,37
CHLRE_01g001800v5		18,18,18,18,18	7,7,7,7,7	4,5,5,5,5	9,9,9,9,9	13,14,14,14,14	15,15,15,15,15	16,16,17,17,18	8,8,8,8,8
