experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 0	CHLRE_09g394325v5	0.136	1	tpms	365	Cre09.g394325	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_09g394325v5	NULL	NULL	tpms	2	Cre09.g394325	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_09g394325v5	NULL	NULL	tpms	2	Cre09.g394325	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_09g394325v5	NULL	NULL	tpms	27	Cre09.g394325	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_09g394325v5	NULL	NULL	tpms	50	Cre09.g394325	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_09g394325v5	NULL	NULL	tpms	39	Cre09.g394325	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_09g394325v5	NULL	NULL	tpms	19	Cre09.g394325	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_09g394325v5	NULL	NULL	tpms	2	Cre09.g394325	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_14g615350v5	0.2637	2	tpms	5	Cre14.g615350	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_14g615350v5	NULL	NULL	tpms	0	Cre14.g615350	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_14g615350v5	NULL	NULL	tpms	0	Cre14.g615350	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_14g615350v5	NULL	NULL	tpms	0.6	Cre14.g615350	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_14g615350v5	NULL	NULL	tpms	0.5	Cre14.g615350	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_14g615350v5	NULL	NULL	tpms	1	Cre14.g615350	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_14g615350v5	NULL	NULL	tpms	0.7	Cre14.g615350	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_14g615350v5	NULL	NULL	tpms	0.2	Cre14.g615350	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_17g728350v5	0.2714	3	tpms	2	Cre17.g728350	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_17g728350v5	NULL	NULL	tpms	0	Cre17.g728350	g2
