GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8
CHLRE_01g000017v5		2,3,3,3,3	6,6,7,7,7	5,5,5,5,5	3,4,4,4,4	6,6,6,6,6	3,3,3,3,3	3,3,3,3,3	4,4,4,4,4
CHLRE_01g000033v5		0.8,1,1,1,2	0.5,0.6,0.7,0.8,0.9	1,2,2,2,2	2,2,2,2,2	2,3,3,4,4	1,1,1,2,2	0.5,0.5,0.6,0.6,0.7	0.2,0.2,0.3,0.3,0.3
CHLRE_01g000050v5		10,10,10,10,10	11,12,12,12,12	4,4,4,5,5	4,4,4,4,4	7,8,8,8,8	12,12,12,12,12	11,12,12,13,13	9,9,9,9,9
CHLRE_01g000100v5		5,5,5,5,5	7,7,7,7,7	4,4,4,4,4	4,4,4,4,5	5,6,6,6,6	6,6,6,6,6	6,6,6,7,7	4,4,4,4,5
CHLRE_01g000150v5		0.3,0.3,0.4,0.4,0.4	1,1,1,1,1	0.1,0.1,0.1,0.1,0.1	0.4,0.4,0.5,0.5,0.6	0,0,0,0,0	0.2,0.2,0.2,0.3,0.3	0.2,0.2,0.3,0.3,0.3	4,5,5,6,6
CHLRE_01g000200v5		13,14,14,15,16	13,14,14,14,14	9,10,10,11,12	11,11,11,11,11	13,13,14,14,14	12,12,13,13,13	13,13,14,14,14	9,10,10,10,10
CHLRE_01g000250v5		29,29,29,29,29	22,22,23,24,24	22,23,23,24,24	29,31,33,34,36	23,23,24,24,24	32,32,33,33,33	30,31,32,33,34	28,29,29,30,30
CHLRE_01g000300v5		44,44,45,46,47	19,20,21,21,22	22,22,22,22,22	25,25,25,25,25	36,37,37,38,38	29,29,30,30,30	27,27,28,28,29	33,34,34,35,36
CHLRE_01g000350v5		50,50,51,51,51	35,35,36,36,36	54,54,55,55,56	76,79,83,86,90	50,51,52,52,53	43,43,44,45,46	45,47,48,50,51	42,45,48,51,54
CHLRE_01g000400v5		10,10,10,10,11	38,38,39,39,40	15,15,15,15,15	8,9,9,9,9	18,18,18,18,18	14,14,14,14,14	15,15,15,16,16	25,25,26,26,27
CHLRE_01g000450v5		11,11,12,12,13	15,15,15,15,15	8,9,9,9,10	10,11,11,11,11	15,15,16,16,17	11,11,11,11,11	12,13,13,14,14	9,10,10,11,11
CHLRE_01g000500v5		2,2,2,2,2	0.8,0.8,0.8,0.9,0.9	0.5,0.6,0.7,0.8,0.9	3,3,3,3,3	1,1,1,2,2	0.9,1,1,1,1	1,1,1,1,1	0.3,0.3,0.3,0.4,0.4
CHLRE_01g000550v5		0.2,0.2,0.2,0.2,0.3	0.1,0.1,0.1,0.1,0.2	0,0,0,0,0.1	0,0,0,0,0.1	0.1,0.1,0.2,0.2,0.2	0.6,0.6,0.6,0.6,0.6	0.8,0.8,0.9,0.9,0.9	0.9,0.9,0.9,0.9,1
CHLRE_01g000600v5		24,25,25,26,27	18,18,19,19,19	2,2,2,2,2	10,10,11,11,12	6,6,7,7,8	30,31,32,33,34	37,39,41,43,46	29,31,34,36,38
CHLRE_01g000650v5		8,9,9,9,9	3,3,3,3,4	1,1,1,1,1	1,1,1,1,1	38,38,38,39,39	10,10,11,11,12	14,16,18,19,21	32,32,32,32,33
CHLRE_01g000700v5		3,3,3,3,3	2,2,2,3,3	2,2,2,2,3	2,2,2,2,2	3,3,3,3,3	3,3,3,3,3	2,2,2,3,3	2,2,2,2,2
CHLRE_01g000750v5		16,16,17,17,18	6,7,7,7,7	6,6,6,6,6	8,8,9,9,9	15,15,15,15,16	12,12,12,12,12	12,13,13,14,15	5,6,6,6,6
CHLRE_01g000800v5		7,7,7,7,7	3,3,4,5,5	5,5,5,5,5	9,9,10,10,10	5,5,6,6,6	5,5,5,5,5	2,3,3,3,3	3,3,3,3,3
CHLRE_01g000850v5		102,103,104,104,105	30,30,31,31,31	44,44,45,45,46	126,128,131,133,136	59,60,62,63,65	94,96,99,101,104	86,87,88,89,90	101,102,103,104,105
CHLRE_01g000900v5		168,175,181,187,194	34,35,37,39,40	48,51,53,55,57	58,59,60,62,63	186,186,186,186,187	117,117,117,117,117	166,168,169,171,173	53,53,54,55,55
CHLRE_01g000950v5		0.5,0.5,0.5,0.5,0.5	2,2,2,2,2	0.7,0.7,0.7,0.8,0.8	1,1,1,1,1	0.5,0.6,0.7,0.7,0.8	0.8,0.8,0.9,0.9,1	0.6,0.9,1,1,2	2,2,2,2,2
CHLRE_01g001000v5		2,2,3,3,3	5,5,6,6,6	0,0.1,0.1,0.1,0.1	0,0,0.1,0.1,0.1	0.5,0.6,0.7,0.8,0.9	10,10,11,11,11	10,11,11,12,13	18,18,18,19,19
CHLRE_01g001100v5		91,92,92,93,93	125,129,134,138,142	79,80,81,82,83	46,47,48,49,50	83,85,87,89,91	106,109,112,115,118	112,116,121,126,130	146,148,150,151,153
CHLRE_01g001150v5		7,7,7,7,7	8,8,8,8,9	5,5,5,5,5	5,5,5,5,5	8,8,9,9,9	7,7,7,7,7	8,8,8,8,8	6,6,7,7,8
CHLRE_01g001200v5		6,7,8,8,9	4,4,4,4,4	5,5,5,6,6	8,8,8,8,8	10,10,10,10,10	4,4,4,5,5	4,4,4,4,5	1,1,2,2,2
CHLRE_01g001250v5		0.6,0.6,0.7,0.7,0.7	0.3,0.3,0.4,0.4,0.4	0.3,0.3,0.3,0.3,0.3	0.4,0.4,0.5,0.5,0.6	0.7,0.7,0.7,0.8,0.8	0.5,0.5,0.6,0.6,0.6	0.5,0.6,0.6,0.6,0.7	0.2,0.2,0.2,0.2,0.2
CHLRE_01g001300v5		0.1,0.1,0.1,0.1,0.2	0.2,0.2,0.2,0.3,0.3	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0.3,0.3,0.3,0.3,0.3	0.2,0.2,0.2,0.2,0.2	0.4,0.4,0.5,0.5,0.5	0.1,0.1,0.2,0.2,0.2
CHLRE_01g001350v5		5,5,5,5,5	7,7,7,8,8	3,3,3,3,3	2,2,2,3,3	5,5,5,5,5	6,7,7,7,7	10,10,10,11,11	12,12,12,12,12
CHLRE_01g001400v5		42,44,45,47,49	6,6,7,8,9	4,4,5,5,6	8,8,9,9,10	19,20,21,21,22	36,38,40,41,43	48,55,61,67,74	109,114,118,123,127
CHLRE_01g001450v5		11,11,11,12,12	1,1,1,1,1	0.5,0.6,0.6,0.7,0.7	0.9,0.9,1,1,1	4,4,4,4,5	19,20,20,20,20	21,21,22,22,22	14,15,15,15,16
CHLRE_01g001501v5		3,3,3,3,4	1,2,2,2,2	0.2,0.2,0.3,0.3,0.3	1,1,1,1,1	2,2,2,2,2	4,4,4,4,4	4,4,4,4,4	2,2,2,2,2
CHLRE_01g001550v5		69,70,71,72,73	10,11,11,11,11	13,14,14,15,16	55,56,57,58,59	35,36,37,38,39	55,57,59,61,64	48,48,48,48,48	23,25,26,28,30
CHLRE_01g001600v5		8,9,9,10,11	10,10,10,10,10	9,9,9,10,10	4,4,5,5,5	20,21,21,21,21	8,8,9,9,9	13,13,13,13,13	3,4,4,4,4
CHLRE_01g001650v5		3,4,4,4,4	0.7,0.8,0.9,0.9,1	0.4,0.4,0.4,0.4,0.5	0.8,0.9,0.9,1,1	1,2,2,2,2	2,2,2,2,2	2,2,2,3,3	0.6,0.9,1,1,2
CHLRE_01g001657v5		26,26,27,28,29	35,35,36,37,37	25,27,28,30,31	26,27,28,30,31	22,24,26,28,30	21,21,21,21,21	20,21,22,22,23	25,25,25,26,26
CHLRE_01g001664v5		8,8,8,9,9	20,20,20,21,21	12,12,12,12,12	13,13,14,14,15	7,8,9,10,11	13,13,14,14,14	13,13,13,14,14	7,8,8,9,9
CHLRE_01g001671v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0.1,0.1	0.1,0.1,0.1,0.1,0.2	0,0,0,0.1,0.1	0,0,0,0,0
CHLRE_01g001678v5		26,26,26,26,26	19,19,19,20,20	16,16,16,16,16	14,14,14,14,14	42,42,42,42,42	24,24,25,25,25	27,27,28,28,29	16,16,16,17,17
CHLRE_01g001685v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
CHLRE_01g001700v5		3,3,3,3,3	3,3,3,3,3	6,6,6,6,7	7,7,7,7,7	7,7,7,8,8	1,1,1,1,1	0.8,0.8,0.9,0.9,1	0.9,0.9,0.9,0.9,0.9
CHLRE_01g001750v5		52,53,55,56,58	42,42,43,43,44	11,12,12,12,13	46,46,47,47,47	27,27,27,28,28	59,60,60,61,61	53,54,55,57,58	67,69,71,73,76
CHLRE_01g001800v5		36,36,36,36,37	13,13,13,13,14	8,8,9,9,9	16,16,16,16,16	27,27,27,27,28	30,30,30,31,31	33,34,35,36,37	16,16,16,16,16
CHLRE_01g001950v5		13,13,13,13,13	7,7,7,7,7	7,7,8,9,9	11,11,11,11,11	11,11,11,11,11	10,10,11,11,11	12,12,12,12,12	13,13,13,14,14
CHLRE_01g001983v5		55,57,59,61,63	26,27,29,30,31	42,43,43,43,44	50,50,50,50,50	41,42,42,43,44	39,39,39,39,39	36,38,39,40,41	52,53,55,57,58
CHLRE_01g002050v5		14,14,14,15,15	20,22,24,26,29	28,29,29,29,29	14,14,14,14,15	9,9,9,9,10	11,11,11,12,12	12,12,13,13,14	28,30,32,33,35
CHLRE_01g002100v5		9,9,9,9,9	11,12,12,12,13	6,7,7,7,8	7,7,8,8,8	10,10,10,10,11	10,10,10,10,10	9,10,10,10,10	7,7,7,7,7
CHLRE_01g002150v5		5,5,6,7,8	5,5,5,5,6	0.1,0.1,0.1,0.1,0.1	0,0.1,0.1,0.1,0.1	2,2,2,2,2	17,18,18,18,18	11,13,15,16,18	21,23,25,27,29
CHLRE_01g002200v5		109,115,122,128,134	86,87,88,89,90	26,27,27,27,27	60,61,62,63,64	59,60,61,62,63	123,130,136,142,148	138,139,141,142,144	133,134,134,135,135
CHLRE_01g002201v5		3,3,3,3,3	2,2,2,2,2	0.5,0.6,0.6,0.6,0.7	1,1,2,2,2	1,1,1,1,2	3,3,3,4,4	3,4,4,4,4	3,3,4,4,4
CHLRE_01g002203v5		0.1,0.2,0.2,0.3,0.3	0.4,0.4,0.4,0.4,0.4	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2	0.2,0.2,0.2,0.3,0.3	0.3,0.4,0.4,0.4,0.5	0.7,0.7,0.8,0.8,0.8
CHLRE_01g002227v5		6,7,7,7,7	6,6,6,6,6	3,3,3,3,4	5,6,6,7,8	5,5,5,5,5	7,7,8,8,8	5,6,6,7,7	5,5,5,5,6
CHLRE_01g002234v5		5,5,5,5,5	5,5,5,5,5	3,3,3,4,4	5,5,5,5,5	4,4,4,4,4	4,4,4,4,4	3,4,4,4,5	4,4,4,4,4
CHLRE_01g002250v5		46,46,46,46,46	4,4,4,4,4	7,7,7,8,8	26,26,27,27,27	18,19,19,19,20	20,21,21,22,22	8,9,9,10,10	7,7,7,7,7
CHLRE_01g002300v5		929,935,942,948,955	2215,2228,2240,2253,2266	1364,1379,1394,1409,1424	677,679,680,682,684	1365,1365,1365,1365,1365	1001,1013,1025,1037,1049	712,744,777,809,841	1510,1534,1559,1583,1607
CHLRE_01g002350v5		20,21,21,22,22	35,36,37,37,38	21,21,22,22,23	13,13,13,14,14	24,25,26,27,28	23,24,25,26,27	23,23,23,24,24	32,32,32,33,33
CHLRE_01g002400v5		9,9,9,10,10	25,26,27,28,28	25,26,26,27,27	16,16,16,17,17	11,11,11,11,11	10,10,10,10,10	13,14,14,14,14	11,11,12,12,13
CHLRE_01g002451v5		8,8,9,9,9	26,27,28,30,31	16,19,23,26,30	14,16,18,20,22	8,8,9,9,10	8,9,10,11,12	16,16,16,16,17	12,13,13,13,13
CHLRE_01g002500v5		394,411,428,445,462	177,179,181,183,185	281,282,283,284,285	691,716,742,767,793	269,275,281,287,294	447,449,450,451,452	444,449,455,460,466	414,416,419,421,424
CHLRE_01g002550v5		43,44,45,46,47	11,12,12,12,13	9,10,10,11,11	16,16,16,16,16	41,41,42,42,42	33,33,33,34,34	31,32,32,33,33	15,15,15,15,15
CHLRE_01g002600v5		0.9,0.9,1,1,1	0.1,0.2,0.3,0.3,0.4	0.3,0.3,0.3,0.3,0.4	0.2,0.2,0.2,0.3,0.3	0.7,0.7,0.8,0.8,0.8	0.6,0.6,0.6,0.7,0.7	0.5,0.5,0.5,0.6,0.6	0.2,0.2,0.3,0.3,0.3
CHLRE_01g002650v5		0,0.1,0.1,0.2,0.3	0.2,0.3,0.3,0.3,0.3	0.1,0.1,0.1,0.1,0.2	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.2,0.2,0.2	0.7,0.8,0.9,1,1	0.7,0.8,0.8,0.9,1	0.6,0.7,0.8,0.9,1
CHLRE_01g002700v5		4,4,4,5,5	8,8,8,8,8	5,5,6,6,7	3,3,3,3,3	7,7,7,7,7	6,6,6,6,6	8,8,8,8,8	8,8,9,9,9
CHLRE_01g002750v5		1,2,2,2,2	2,3,3,3,3	1,1,2,2,2	1,1,1,1,1	2,2,3,3,3	2,2,2,2,3	2,2,2,2,3	0.6,0.9,1,1,2
CHLRE_01g002787v5		1,1,1,1,1	1,1,1,1,1	0.6,0.6,0.7,0.7,0.8	1,1,1,1,1	1,1,1,1,1	0.9,1,1,1,1	2,2,2,2,2	2,2,2,2,2
CHLRE_01g002824v5		1,1,1,1,1	1,1,1,1,1	0.6,0.6,0.6,0.6,0.7	1,1,1,1,1	1,1,1,1,1	1,1,1,1,2	1,1,1,1,1	1,1,1,1,1
CHLRE_01g002861v5		7,7,7,7,7	9,10,10,10,10	4,4,4,4,4	5,5,5,5,5	7,7,7,7,7	8,8,8,8,8	8,8,9,9,10	9,9,9,10,10
CHLRE_01g002900v5		169,172,176,180,183	0.6,0.6,0.7,0.7,0.7	3,3,3,3,3	29,31,32,34,35	103,105,108,110,112	96,100,104,107,111	101,102,104,106,108	4,5,6,8,9
CHLRE_01g002950v5		19,19,19,20,20	19,19,19,20,20	9,9,9,9,9	13,14,14,14,15	17,18,19,19,20	20,20,20,21,21	19,20,20,21,21	12,13,13,14,14
CHLRE_01g003000v5		4,4,4,5,5	5,5,5,6,6	2,2,2,2,2	1,1,1,1,1	5,5,6,6,6	5,5,5,5,5	5,5,5,5,5	4,4,5,5,5
CHLRE_01g003050v5		4,4,4,4,4	5,5,5,5,5	2,2,2,2,2	2,2,2,2,2	2,2,3,3,3	7,7,7,7,7	6,6,6,7,7	10,10,10,10,10
