Source Name	Characteristics [organism]	Characteristics [strain]	Characteristics[growth condition]	Characteristics[organism [part]	Comment [Sample_source_name]	Comment [Sample_title]	Material Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment[LIBRARY_LAYOUT]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment[LIBRARY_STRAND]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [sampling time point]
GSM1531285 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	21B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531285 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531285	SRX740311	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622079	SRR1622079	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/009/SRR1622079/SRR1622079.fastq.gz	GSM1531285_21B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 21
GSM1531284 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	21A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531284 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531284	SRX740310	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622080	SRR1622080	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR1622080/SRR1622080.fastq.gz	GSM1531284_21A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 21
GSM1531283 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	18B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531283 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531283	SRX740309	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622081	SRR1622081	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR1622081/SRR1622081.fastq.gz	GSM1531283_18B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 18
GSM1531282 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	18A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531282 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531282	SRX740308	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622082	SRR1622082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR1622082/SRR1622082.fastq.gz	GSM1531282_18A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 18
GSM1531281 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	15B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531281 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531281	SRX740307	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622083	SRR1622083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR1622083/SRR1622083.fastq.gz	GSM1531281_15B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 15
GSM1531280 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	15A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531280 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531280	SRX740306	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622084	SRR1622084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR1622084/SRR1622084.fastq.gz	GSM1531280_15A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 15
GSM1531279 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	12B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531279 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531279	SRX740305	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622085	SRR1622085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR1622085/SRR1622085.fastq.gz	GSM1531279_12B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 12
GSM1531278 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	12A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531278 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531278	SRX740304	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622086	SRR1622086	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR1622086/SRR1622086.fastq.gz	GSM1531278_12A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 12
GSM1531277 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	9B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531277 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531277	SRX740303	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622087	SRR1622087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR1622087/SRR1622087.fastq.gz	GSM1531277_9B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 9
GSM1531276 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	9A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531276 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531276	SRX740302	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622088	SRR1622088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/008/SRR1622088/SRR1622088.fastq.gz	GSM1531276_9A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 9
GSM1531275 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	6B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531275 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531275	SRX740301	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622089	SRR1622089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/009/SRR1622089/SRR1622089.fastq.gz	GSM1531275_6C.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 6
GSM1531274 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	6A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531274 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531274	SRX740300	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622090	SRR1622090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR1622090/SRR1622090.fastq.gz	GSM1531274_6B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 6
GSM1531273 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	3B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531273 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531273	SRX740299	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622091	SRR1622091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR1622091/SRR1622091.fastq.gz	GSM1531273_3B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 3
GSM1531272 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	3A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531272 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531272	SRX740298	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622092	SRR1622092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR1622092/SRR1622092.fastq.gz	GSM1531272_3A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 3
GSM1531271 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	0B	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531271 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531271	SRX740297	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622093	SRR1622093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR1622093/SRR1622093.fastq.gz	GSM1531271_0B.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 0
GSM1531270 1	Chlamydomonas reinhardtii	dw15.1	suspension cell culture medium	whole organism	Whole cells	0A	cell	P-GSE62671-1	ArrayExpress	P-GSE62671-2	ArrayExpress	P-GSE62671-3	ArrayExpress	GSM1531270 extract 1	Illumina HiSeq 2500	SINGLE	cDNA	transcriptomic	RNA-Seq	first strand	total RNA	GSM1531270	SRX740296	Illumina HiSeq 2500 (Chlamydomonas reinhardtii)	sequencing assay	SRR1622094	SRR1622094	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR1622094/SRR1622094.fastq.gz	GSM1531270_0A.fpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62671/E-GEOD-62671.processed.1.zip	zeitgeber time 0
