og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37HDQ	1.0622	1.0681	0.6390	0.7162	0.5269	0.7269	0.8016	1.0219	0.9766	1.0668	0.7471	0.1354	0.0128	0.9649	1.3952	1.3588
37HDR	5.6449	4.8459	5.2251	5.3107	4.8524	5.5554	5.3289	5.6977	4.8633	5.4311	5.6725	3.5211	4.9327	5.6083	3.6065	3.0545
37HDS	0.4429	0.4849	0.5642	0.3766	0.1447	0.5672	0.4165	0.3498	0.5637	0.6062	0.3355	0.1615	0.4930	0.6856	0.0455	0.1320
37HDT	2.4102	2.0970	2.2893	2.5324	2.2488	2.8430	2.5093	2.6335	2.0418	2.3684	2.3356	1.0404	1.4588	2.5231	1.3277	1.3357
37HDU	1.9866	1.6315	1.9333	1.9890	1.1268	2.1696	1.9544	1.9616	1.5839	1.7243	2.0241	0.6813	1.2361	1.9630	0.6762	1.4067
37HDV	0.7962	0.5186	0.4380	1.0625	0.6622	0.6569	1.5870	0.7365	0.5093	0.6204	0.8886	0.5227	0.0734	0.8477	0.1631	0.6739
37HDW	3.4914	2.7174	3.5519	3.9223	1.8824	4.5817	4.2431	4.3364	2.8721	3.5548	3.4431	0.4774	1.9407	4.2089	1.5808	1.8801
37HDX	3.3018	2.9673	2.6175	2.8623	1.9454	3.0137	2.9600	3.4475	2.7593	3.0969	3.2376	1.1196	2.2542	3.2163	1.7390	1.1584
37HDY	4.4966	3.7995	3.9180	4.3062	3.3945	4.5488	4.4512	4.5755	3.7654	4.2760	4.5111	1.2986	3.7605	4.5815	2.4630	2.2722
37HDZ	1.7175	1.4169	1.7969	1.8999	0.8960	2.3748	2.3212	2.2160	1.4578	1.8201	1.6031	0.2334	1.5280	2.1752	0.6086	0.8530
37HE0	6.4580	5.6939	6.2757	6.6735	6.7348	6.9730	6.6414	6.8010	5.8401	6.3768	6.4165	3.1098	7.2166	6.5040	4.0023	3.2854
37HE1	2.4046	2.4991	2.7270	2.7852	1.7878	2.5299	2.6862	3.0660	2.5041	2.5100	2.5483	1.7329	1.3942	2.7934	1.5309	1.3761
37HE2	3.2063	3.0925	2.7406	2.8689	1.5476	2.9285	3.1067	3.2247	2.8078	2.7268	3.1781	1.0169	1.6635	3.1651	2.3621	1.5232
37HE3	1.9727	3.1589	1.4330	0.8516	1.7269	1.2367	0.8243	0.8350	2.5092	1.8593	1.7715	0.6505	0.6767	1.5522	2.8055	0.7357
37HE4	0.7977	0.6387	0.3129	0.5954	0.2606	0.6710	0.6504	0.6518	0.4407	0.5856	0.7402	0.0112	0.0028	0.6922	0.4610	0.2314
37HE5	4.2387	2.8947	3.8696	3.5859	3.2064	3.8303	3.7059	4.3620	3.1978	3.7312	4.1723	2.4158	2.5897	3.9070	1.6148	1.5199
37HE6	4.1545	3.3713	3.8972	4.0718	1.9349	4.0936	4.6394	4.2462	3.6153	4.0219	4.2049	0.8670	3.5700	4.5271	1.5805	2.2978
37HE7	0.6269	0.5192	0.4623	0.6022	0.4883	1.0097	0.8402	0.6789	0.4527	0.6691	0.3956	0.1924	0.0503	0.9541	0.6055	0.4339
37HE8	3.0652	4.1312	3.2001	2.3579	2.4482	2.5415	2.2806	2.0006	3.8094	3.0159	2.9028	1.3138	4.1512	2.8783	2.8011	1.0788
37HE9	3.3425	4.4396	4.3298	3.0349	4.0373	3.5129	2.9656	2.7726	4.4427	3.7161	3.1464	2.5796	4.8006	3.5437	3.3171	1.4428
37HEA	2.9098	2.4996	2.6069	2.7483	1.7524	2.9060	2.7514	2.9523	2.4382	2.7149	3.1638	0.9134	2.7232	3.0589	1.1899	0.9745
37HEB	3.0067	3.9790	3.4396	2.6637	2.7680	2.8173	2.6470	2.7304	3.7898	3.0580	3.0843	1.5410	4.1230	3.2303	3.4732	1.4670
37HEC	3.8731	3.9135	3.8915	3.4648	2.8910	3.5039	3.3400	4.2198	3.7232	3.9005	3.8279	2.3079	2.7593	3.7705	3.0071	2.3983
37HED	2.3536	2.0244	1.8639	1.8739	1.3820	2.2068	1.9011	2.3385	1.8303	2.0345	2.4118	0.8515	0.8226	2.3874	1.1752	0.6378
37HEE	0.5549	0.6667	0.8197	1.0085	0.2917	1.2814	1.4174	0.6010	0.7535	0.7556	0.4690	0.1376	1.2997	1.7666	0.2147	0.5313
37HEF	3.4186	2.9254	3.6334	2.8614	1.3920	2.7353	2.7003	4.0992	3.0514	3.1969	3.7650	0.7671	2.0689	3.4490	1.8052	1.4002
37HEG	4.1256	3.0912	3.2779	3.2179	2.7461	2.7167	3.1193	3.4224	3.0722	3.1376	4.2282	1.0873	1.4303	3.3755	2.2366	1.2583
37HEH	3.5203	3.1359	3.2813	3.2798	2.0896	3.4819	3.1896	3.5582	3.0762	3.3177	3.5869	1.4104	2.6481	3.6296	1.8591	1.3781
37HEI	2.0935	1.8500	1.8530	2.3167	1.9041	2.6084	2.3730	2.2700	1.7860	2.1348	2.1125	0.9181	1.1471	2.3396	1.4059	1.4293
37HEJ	1.3693	0.8421	0.3954	0.7260	0.2538	0.6396	0.5773	0.9036	0.6309	0.8266	1.2355	0.1100	0.0096	0.9148	0.1211	0.1716
37HEK	2.5099	2.8931	3.1389	2.8614	1.2991	2.4369	3.2870	3.4822	2.8625	2.5781	2.3006	0.4275	2.0546	2.8667	1.3300	1.8776
37HEM	2.0952	1.5243	1.3855	1.9350	0.9223	2.2401	1.8916	1.9644	1.4322	1.7339	2.1554	0.2742	1.5467	2.0935	0.9861	0.9115
37HEN	0.6691	1.7572	0.9653	0.5982	0.3340	0.6161	0.6665	1.4287	1.3644	1.1471	0.7391	0.0980	0.0780	1.0033	1.8637	0.4420
37HEP	2.9247	3.3667	3.7415	3.6242	2.5332	3.7207	3.7649	3.9070	3.3838	3.6021	3.3302	2.0571	2.3751	3.7675	2.0604	1.6563
37HEQ	0.8005	0.7846	0.9220	1.0621	0.5239	1.2470	1.0195	1.0110	0.8298	0.9383	0.8073	0.2133	0.4523	1.1301	0.8344	0.8283
37HER	3.0540	4.2496	3.4343	2.3449	2.1218	2.2104	2.0122	2.3059	4.0323	2.8640	3.0372	0.8440	4.2436	2.7009	2.7619	1.1860
37HES	1.3281	1.6905	1.2961	1.2600	0.9495	1.3544	1.4390	2.7606	1.5795	1.7592	1.1877	0.4850	0.0834	1.8295	1.5533	1.0920
37HET	0.8192	0.8487	0.6137	0.7591	0.5343	1.0610	0.8295	0.8709	0.7690	1.0313	0.7507	0.0505	0.0146	1.0776	1.1783	0.6809
37HEU	1.4285	1.3574	1.9194	1.6998	0.9669	2.2177	2.2210	1.9131	1.4515	1.8533	1.5663	0.4611	0.8756	2.1911	0.6846	1.0474
37HEV	1.4323	0.9873	2.0785	1.9600	1.7360	3.4661	2.6099	2.4637	1.2320	1.9685	1.0576	0.9544	2.5786	2.5585	0.2424	0.4316
37HEW	2.4554	2.8874	2.7671	2.3508	1.6950	1.9018	2.3904	3.3527	2.7519	2.6841	2.7836	1.0002	1.3950	2.4797	1.6604	2.0396
37HEX	1.8378	3.8313	2.8122	1.8419	2.7061	1.9488	1.4134	1.0421	3.6938	2.7059	1.8127	1.3940	4.4160	2.2528	4.6877	3.1968
37HEY	2.4946	1.4956	0.5771	0.9152	0.2991	1.0017	0.6338	1.7611	1.0494	1.3686	2.2111	0.1018	0.0126	1.5164	0.2343	1.3594
37HEZ	1.7831	1.9062	1.8052	1.9011	1.6819	2.2826	2.0762	2.1464	1.7455	1.9729	2.0083	1.0194	0.7143	2.1352	1.4061	2.2231
37HF0	0.9732	0.1258	0.4302	0.2982	0.1925	0.2699	0.1478	1.7424	0.1246	0.6002	0.3836	0.0148	0.0013	0.2401	0.1052	0.1040
37HF1	4.1103	7.3507	5.7121	3.1194	5.3204	4.1716	2.5006	2.3596	7.1497	5.6678	3.8305	1.9989	8.0415	5.1360	5.7182	2.7490
37HF2	3.0850	2.5575	2.6682	3.4211	1.9851	3.5241	3.6786	3.2739	2.5719	2.8759	2.9572	1.6287	1.8108	3.5052	2.7430	1.5995
37HF3	2.8085	3.4828	2.5566	2.2687	2.2996	2.4072	1.8913	2.2320	3.1355	2.8148	2.9560	1.1230	2.1138	2.6931	2.2481	1.5449
37HF4	4.2189	3.2762	3.4285	3.6990	2.6366	3.8468	3.5639	3.8653	3.2314	3.6400	4.2520	1.2241	2.9500	3.8897	2.1010	1.2856
37HF5	2.4429	3.3167	2.5095	2.4549	1.5862	2.8132	2.6290	2.3635	2.9901	2.6688	2.3449	0.7798	2.6572	2.9466	2.4142	1.1574
37HF6	2.9913	4.0026	2.8014	2.4024	2.3243	2.3997	2.3000	2.1173	3.6878	2.9713	3.0672	1.0379	2.8085	2.7773	2.7906	2.0326
37HF7	1.7408	1.4252	1.5991	1.6336	1.3506	1.9365	1.7208	1.7365	1.4069	1.5993	1.5641	0.5661	1.3032	1.7730	0.7402	0.4753
37HF8	0.1031	0.0523	0.0562	0.0474	0.0481	0.0922	0.0293	0.1652	0.0483	0.1321	0.0797	0.0040	0.0001	0.1233	0.0111	0.0628
37HF9	0.9503	0.8405	0.7103	0.7358	1.0507	0.6107	1.0201	1.0174	0.8856	0.8495	0.6623	0.5687	0.2534	0.8359	0.5389	0.6478
37HFA	2.0960	1.4513	1.0268	1.6363	1.2562	1.3070	2.0984	1.6470	1.4130	1.6705	2.1227	1.8210	1.3221	2.4651	0.6699	1.8290
37HFB	2.6631	2.3112	1.9623	2.2886	1.4001	2.2500	2.4104	2.3297	2.0818	2.2743	2.5347	0.9158	1.5884	2.3289	1.4564	0.8573
37HFC	3.3545	3.1807	3.0667	3.1591	1.7689	3.3916	3.1932	3.6758	2.9879	3.3270	3.3083	0.8299	2.2506	3.4779	2.2556	1.5863
37HFD	1.6110	2.2155	2.3078	2.5005	1.5761	2.6950	2.9524	3.2544	1.9481	2.3435	1.8675	0.4380	0.3629	2.6895	1.6542	0.6007
37HFE	3.6090	2.9585	3.1410	3.5331	2.9482	3.5249	3.4775	3.4830	2.8819	3.1955	3.4744	1.7129	2.0571	3.2884	1.9033	2.0157
37HFF	3.9145	3.5716	3.3632	2.9387	2.6055	3.5533	3.2447	4.0255	3.5558	3.8077	3.9227	1.4275	2.3565	3.9215	2.0875	1.8400
37HFG	2.8597	2.6649	2.6440	2.7022	2.1536	3.0622	2.6454	2.9231	2.5488	2.6638	2.9311	1.0348	3.3034	3.0742	1.6021	0.6760
37HFH	1.0008	1.1111	1.8268	1.6496	1.4181	2.2041	1.9384	1.6666	1.2871	1.4350	0.9864	1.2621	1.8521	1.8198	0.7278	1.1410
37HFI	2.1551	1.1744	1.3624	1.3433	0.6469	1.2450	1.1749	1.8653	1.1396	1.4582	2.3650	1.0053	0.8982	1.8131	0.2614	0.5845
37HFJ	1.9518	1.9971	1.8996	1.9444	1.0629	1.8668	1.9362	1.3969	1.9630	1.8290	2.0747	0.5080	1.7280	2.0007	1.2327	0.7258
37HFK	2.1290	0.9835	0.4707	1.2307	0.2919	1.1805	1.4076	1.0130	0.7587	1.4466	1.8135	0.1512	0.0077	1.5427	0.1255	0.2041
37HFM	3.5776	3.1047	3.1969	2.9207	1.5341	2.9306	2.9495	3.6381	3.0246	2.9311	3.5181	0.6844	2.1081	3.3125	1.7697	1.6565
37HFN	3.3272	3.0959	3.2672	3.3282	2.0662	3.1223	3.2467	3.5072	3.0047	3.2166	3.4884	0.9240	2.2058	3.2785	1.9729	1.4642
37HFP	3.4486	4.8516	4.0082	2.8557	2.9954	3.4249	2.6211	2.2586	4.6501	3.8503	3.3701	1.4395	5.4692	3.6200	3.6163	1.1429
37HFQ	3.3087	2.9504	3.0390	3.0014	2.5014	3.0990	2.9764	3.1494	2.8900	3.0432	3.4943	2.4993	2.3062	3.4244	1.7995	1.5214
37HFR	2.3518	2.3862	2.2237	2.5020	1.7047	2.4255	2.5621	2.4952	2.2950	2.3608	2.3406	0.8375	2.6255	2.5666	2.1630	1.0809
