GeneID	EC_Number	GO_Terms	Symbol	Description	Pathway
Cz01g00020	EC:6.1.1.14	GO:0000166 GO:0004814 GO:0004820 GO:0005524 GO:0005737 GO:0006420 GO:0006426	AT3G48110	(1 of 1) K14164 - glycyl-tRNA synthetase (glyQS)	Glycine
Cz01g00030		GO:0003723 GO:0003743 GO:0006413	AT4G18040	(1 of 1) PTHR11960:SF8 - AT15894P-RELATED	Unknown
Cz01g00040	EC:4.6.1.1				Unknown
Cz01g00050	EC:4.6.1.1	GO:0009190 GO:0035556	AT5G05160	(1 of 1) PTHR48010:SF11 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	Protein_Kinase_Signalling
Cz01g00060	EC:2.7.8.11	GO:0008654 GO:0016020 GO:0016780	AT1G68000	(1 of 1) PTHR15362:SF25 - CDP-DIACYLGLYCEROL--INOSITOL 3-PHOSPHATIDYLTRANSFERASE 1	Inositol
Cz01g00070			AT5G39940	(1 of 1) K07007 - uncharacterized protein (K07007)	Unknown
Cz01g00080	EC:3.1.3.16	GO:0016787	AT1G59830	(1 of 1) PTHR45619:SF16 - SERINE_THREONINE-PROTEIN PHOSPHATASE PP2A-1 CATALYTIC SUBUNIT	Protein_Phosphatase_Signalling
Cz01g00090	EC:3.1.1.3	GO:0006629	AT1G33270	(1 of 1) KOG3773 - Adiponutrin and related vesicular transport proteins; predicted alpha/beta hydrolase	Lipid_Hydrolase
Cz01g00100	EC:3.1.3.16		AT4G26080	(1 of 1) PTHR47992:SF179 - PROTEIN PHOSPHATASE 2C 56	Protein_Phosphatase_Signalling
Cz01g00110			AT1G73430	(1 of 1) PF04136//PF20671 - Conserved oligomeric Golgi complex subunit 3, N-terminal (COG3_N) // Conserved oligomeric Golgi complex subunit 3, C-terminal (COG3_C)	Vesicle_Trafficking
Cz01g00120			AT1G27760	(1 of 1) PTHR12354:SF1 - PROTEIN F58B3.6	Unknown
Cz01g00130					Unknown
Cz01g00140	EC:3.1.3.16		AT4G32950	(1 of 1) PTHR47992:SF82 - PROTEIN PHOSPHATASE 2C 61-RELATED	Protein_Phosphatase_Signalling
Cz01g00150		GO:0006397 GO:0016788	AT4G31770	(1 of 1) K18328 - lariat debranching enzyme [EC:3.1.-.-] (DBR1)	RNA_Splicing
Cz01g00160		GO:0006397 GO:0016787 GO:0016788	AT4G31770	(1 of 1) K18328 - lariat debranching enzyme [EC:3.1.-.-] (DBR1)	RNA_Splicing
Cz01g00170		GO:0003677			Unknown
Cz01g00180			AT5G53020	(1 of 1) PTHR47747:SF2 - RIBONUCLEASE P PROTEIN SUBUNIT P38-LIKE PROTEIN	RNA_Processing
Cz01g00190					Unknown
Cz01g00200		GO:0009058	AT5G19485	(1 of 1) K03241 - translation initiation factor eIF-2B subunit gamma (EIF2B3)	Translation
Cz01g00210					Unknown
Cz01g00220	EC:3.4.21.107	GO:0004252 GO:0005515 GO:0006508	AT5G27660	(1 of 1) PTHR22939:SF125 - PROTEASE DO-LIKE 14-RELATED	Protein_Proteolysis
Cz01g00230	EC:6.1.1.1	GO:0000166 GO:0004812 GO:0004831 GO:0005524 GO:0006418	AT2G33840	(1 of 3) 6.1.1.1 - tyrosine--tRNA ligase. / tyrosyl-tRNA synthetase.	Tyrosine
Cz01g00240		GO:0005509	AT1G50700	(1 of 2) PTHR24349:SF350 - CALCIUM-DEPENDENT PROTEIN KINASE 33-RELATED	Protein_Kinase_Signalling
Cz01g00250					Unknown
Cz01g00260					Unknown
Cz01g00270	EC:3.4.19.9	GO:0008242	AT1G78660	(1 of 1) PTHR11315:SF15 - GAMMA-GLUTAMYL HYDROLASE 1	Glutathione_Metabolism
Cz01g00280	EC:3.4.19.9	GO:0008242	AT1G78670	(1 of 1) PTHR11315:SF13 - GAMMA-GLUTAMYL HYDROLASE 3-RELATED	Glutathione_Metabolism
Cz01g00290			AT5G02180	(1 of 1) PTHR48017:SF48 - MAHOGANY	Unknown
Cz01g00300			AT3G12930	(1 of 1) PTHR21043:SF2 - PROTEIN IOJAP, CHLOROPLASTIC	Chloroplast_Function
Cz01g00310					Unknown
Cz01g01010		GO:0005515	AT2G31300	(1 of 2) K05757 - actin related protein 2/3 complex, subunit 1A/1B (ARPC1A_B)	Cytoskeleton
Cz01g01020	EC:3.3.1.1		AT4G13940	(1 of 2) 3.3.1.1 - adenosylhomocysteinase. / SAHase.	One_Carbon_Metabolism
Cz01g01030					Unknown
Cz01g01040					Unknown
Cz01g01050					Unknown
Cz01g01060					Unknown
Cz01g01070		GO:0005509	AT3G10300	(1 of 1) PTHR46824:SF1 - CALCIUM-BINDING PROTEIN CML49-RELATED	Calcium_Signalling
Cz01g01080		GO:0003676 GO:0003723 GO:0005515 GO:0006396	AT4G24270	(1 of 1) PF00076//PF05391 - RNA recognition motif (RRM_1) // Lsm interaction motif (Lsm_interact)	RNA_Processing
Cz01g01090		GO:0003824 GO:0031419			Unknown
Cz01g01100					Unknown
Cz01g01110					Unknown
Cz01g01120					Unknown
Cz01g01130			AT1G31870	(1 of 1) K13106 - pre-mRNA-splicing factor CWC26 (BUD13, CWC26)	RNA_Splicing
Cz01g01140	EC:2.3.2.27 EC:3.6.4.12	GO:0005524 GO:0140658	AT5G43530	(1 of 1) PTHR45626:SF22 - DNA REPAIR PROTEIN RAD5	DNA_Repair
Cz01g01150		GO:0050825	AT4G28690	(1 of 2) PTHR33443:SF15 - (RAPE) HYPOTHETICAL PROTEIN	Unknown
Cz01g01160					Unknown
Cz01g01170					Unknown
Cz01g01180					Unknown
Cz01g01190		GO:0005515			Unknown
Cz01g01200	EC:1.2.4.4 EC:2.7.4.9		AT5G59440	(1 of 1) 1.2.4.4//2.7.4.12//2.7.4.9 - 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring). / dehydrogenase, 2-oxoisovalerate (lipoate). // T2-induced deoxynucleotide kinase. / T2-induced deoxynucleotide kinase. // dTMP kinase. / TMPK.	Protein_Kinase_Signalling
Cz01g01210	EC:3.6.4.13	GO:0003677 GO:0003724 GO:0005524 GO:0016787	AT3G19760	(1 of 1) PTHR47958:SF26 - EUKARYOTIC INITIATION FACTOR 4A-III	Translation
Cz01g01220	EC:6.1.1.10	GO:0000049 GO:0000166 GO:0004812 GO:0004825 GO:0005524 GO:0006418 GO:0006431 GO:0050825	AT4G13780	(1 of 1) PTHR45765:SF1 - METHIONINE--TRNA LIGASE, CYTOPLASMIC	Methionine
Cz01g01230					Unknown
Cz01g01240	EC:2.7.11.1	GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0006468	AT5G58140	(1 of 1) PTHR45637:SF22//PTHR47429:SF2 - FLIPPASE KINASE 1-RELATED // PROTEIN TWIN LOV 1	Protein_Kinase_Signalling
Cz01g01250			AT2G31890	(1 of 1) PTHR21228:SF74 - RAP DOMAIN-CONTAINING PROTEIN, CHLOROPLASTIC	Chloroplast_Function
Cz01g02010					Unknown
Cz01g02020					Unknown
Cz01g02030	EC:3.1.13.1	GO:0003676	AT3G15080	(1 of 1) K18327 - RNA exonuclease 4 [EC:3.1.-.-] (REXO4, REX4)	RNA_Processing
Cz01g02040	EC:3.4.24.38				Unknown
Cz01g02050	EC:1.1.1.412		AT5G10730	(1 of 1) PTHR12126:SF16 - MIOREX COMPLEX COMPONENT 2	Translation
Cz01g02060			AT1G73230	(1 of 1) PTHR10351:SF55 - NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT BETA	Translation
Cz01g02070	EC:2.6.1.2 EC:2.6.1.4 EC:2.6.1.44	GO:0009058 GO:0030170	AT1G70580	(1 of 2) 2.3.2.2//2.6.1.2//2.6.1.4//2.6.1.44 - gamma-glutamyltransferase. / glutamyl transpeptidase. // alanine transaminase. / glutamic--pyruvic transaminase. // glycine transaminase. / glycine aminotransferase. // alanine--glyoxylate transaminase. / alanine--glyoxylate aminotransferase.	Glutathione_Metabolism
Cz01g02080	EC:2.1.1.37				Unknown
Cz01g02090					Unknown
Cz01g02100					Unknown
Cz01g02110		GO:0003676 GO:0008270			Unknown
Cz01g02120	EC:2.7.7.49 EC:2.7.7.7 EC:3.1.26.4				Unknown
Cz01g02130					Unknown
Cz01g02140	EC:2.7.7.49 EC:2.7.7.7 EC:3.1.26.4	GO:0003676 GO:0015074			Unknown
Cz01g02150					Unknown
Cz01g02160		GO:0055085	AT3G21390	(1 of 2) K15108 - solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19 (SLC25A19, DNC, TPC1)	Vitamin_B1_Thiamine
Cz01g02170					Unknown
Cz01g02180			AT3G48380	(1 of 1) PTHR48153:SF2 - UFM1-SPECIFIC PROTEASE 2	Ubiquitin_Proteasome
Cz01g02190		GO:0008289	AT1G64720	(1 of 1) PTHR19308:SF39 - PHOSPHATIDYLCHOLINE TRANSFER PROTEIN	Phospholipid_Biosynthesis
Cz01g02200					Unknown
Cz01g02210					Unknown
Cz01g02220	EC:3.2.1.84				Unknown
Cz01g02230	EC:3.2.1.84	GO:0003824 GO:0004553 GO:0005975 GO:0030246	AT5G63840	(1 of 1) 3.2.1.84 - glucan 1,3-alpha-glucosidase. / exo-1,3-alpha-glucanase.	Glycolysis
Cz01g02240			AT1G04420	(1 of 1) PTHR43364:SF4 - NAD(P)-LINKED OXIDOREDUCTASE SUPERFAMILY PROTEIN	Redox_Metabolism
Cz01g02250			AT1G04420	(1 of 1) PTHR43364:SF4 - NAD(P)-LINKED OXIDOREDUCTASE SUPERFAMILY PROTEIN	Redox_Metabolism
Cz01g02260	EC:3.5.3.12	GO:0004668 GO:0009446	AT5G08170	(1 of 1) 3.5.3.12 - agmatine deiminase. / agmatine deiminase.	Polyamine_Biosynthesis
Cz01g02270	EC:2.7.11.1				Unknown
Cz01g02280					Unknown
Cz01g02290			AT1G67080	(1 of 1) 5.3.99.9 - neoxanthin synthase. / NSY.	Carotenoid
Cz01g02300	EC:3.4.21.92	GO:0004176 GO:0004252 GO:0006508	AT4G17040	(1 of 1) PTHR10381:SF47 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT-RELATED PROTEIN 4, CHLOROPLASTIC	Protein_Proteolysis
Cz01g03010	EC:2.7.11.1	GO:0004672 GO:0005524 GO:0006468			Unknown
Cz01g03020			AT5G16810	(1 of 1) PTHR36796:SF1 - PROTEIN KINASE FAMILY PROTEIN	Protein_Kinase_Signalling
Cz01g03030		GO:0005515			Unknown
Cz01g03040					Unknown
Cz01g03050					Unknown
Cz01g03060					Unknown
Cz01g03070	EC:2.1.1.259		AT4G20130	(1 of 1) PTHR13271:SF54 - PROTEIN PLASTID TRANSCRIPTIONALLY ACTIVE 14	Transcription
Cz01g03080					Unknown
Cz01g03090					Unknown
Cz01g03100					Unknown
Cz01g03110			AT5G54770	(1 of 1) K03146 - thiamine thiazole synthase (THI4, THI1)	Vitamin_B1_Thiamine
Cz01g03120	EC:3.4.19.12 EC:3.4.22.69				Unknown
Cz01g03130					Unknown
Cz01g03140					Unknown
Cz01g03150					Unknown
Cz01g03160					Unknown
Cz01g03170	EC:2.1.1.319		AT3G12270	(1 of 1) K11436 - protein arginine N-methyltransferase 3 [EC:2.1.1.-] (PRMT3)	Protein_Methylation
Cz01g03180	EC:2.1.1.321		AT4G16570	(1 of 1) 2.1.1.321 - type III protein arginine methyltransferase. / type III protein arginine methyltransferase.	Protein_Methylation
Cz01g03190	EC:2.5.1.10	GO:0008299	AT4G17190	(1 of 2) 2.5.1.1//2.5.1.10 - dimethylallyltranstransferase. / prenyltransferase. // (2E,6E)-farnesyl diphosphate synthase. / geranyltranstransferase.	Wax_Cutin
Cz01g03200					Unknown
Cz01g03210		GO:0005743 GO:0055085	AT4G01100	(1 of 1) PTHR24089:SF776 - MITOCHONDRIAL ADENINE NUCLEOTIDE TRANSPORTER ADNT1	Purine
Cz01g03220			AT1G68300	(1 of 1) PTHR31964:SF113 - USP DOMAIN-CONTAINING PROTEIN	Ubiquitin_Proteasome
Cz01g03230					Unknown
