GeneID	EC_Number	GO_Terms	Symbol	Description	Pathway
Cre01.g052350			Cre01.g052350	translation ribosome structural constituent of ribosome rRNA binding RNA binding ribonucleoprotein complex	Translation
Cre01.g054433			Cre01.g054433	catalytic activity membrane endoplasmic reticulum ceramide biosynthetic process sphingolipid catabolic process cell periphery phospholipase activity	Sphingolipid_Metabolism
Cre01.g005300			Cre01.g005300	Unknown	Unknown
Cre01.g039350			Cre01.g039350	NADPH-hemoprotein reductase activity FMN binding oxidoreductase activity cytosol flavin adenine dinucleotide binding	Vitamin_B2_Riboflavin
Cre01.g007651			Cre01.g007651	pseudouridine synthesis RNA binding pseudouridine synthase activity isomerase activity RNA modification tRNA processing nucleus	tRNA_Modification
Cre01.g041583			Cre01.g041583	regulation of DNA-templated transcription nucleus regulation of transcription by RNA polymerase II histone binding chromatin remodeling NuA4 histone acetyltransferase complex	Protein_Acetylation
Cre01.g056331			Cre01.g056331	cytoplasm	Unknown
Cre01.g029900			Cre01.g029900	ATP binding membrane ATP hydrolysis activity nucleotide binding transmembrane transport ATPase-coupled transmembrane transporter activity ABC-type transporter activity	Unknown
Cre01.g053350			Cre01.g053350	Unknown	Unknown
Cre01.g002861			Cre01.g002861	Unknown	Unknown
Cre01.g026900			Cre01.g026900	FAD binding monooxygenase activity kynurenine 3-monooxygenase activity kynurenine metabolic process	Vitamin_B2_Riboflavin
Cre01.g028250			Cre01.g028250	membrane lipase activity	Lipid_Hydrolase
Cre01.g067282			Cre01.g067282	Unknown	Unknown
Cre01.g039450			Cre01.g039450	transmembrane transporter activity protein import into chloroplast stroma Tic complex	Chloroplast_Function
Cre01.g049350			Cre01.g049350	proteolysis membrane hydrolase activity peptidase activity metallopeptidase activity chloroplast metalloendopeptidase activity	Protein_Proteolysis
Cre01.g007950			Cre01.g007950	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding monooxygenase activity oxidoreductase activity metal ion binding	Redox_Metabolism
