Pathway	GeneID	Symbol	Description	Salt24h_vs_CK_log2FC	Salt24h_vs_CK_padj	Salt48h_vs_CK_log2FC	Salt48h_vs_CK_padj	Salt48h_vs_24h_log2FC	Salt48h_vs_24h_padj
Proline	CL10005.Contig4_All	sp|Q9LV48|PERK1_ARATH/2e-168/Proline-rich receptor-like protein kinase PERK1 OS=Arabidopsis thaliana GN=PERK1 PE=2 SV=1	gi|474340800|gb|EMS62683.1|/0/Proline-rich receptor-like protein kinase PERK1 [Triticum urartu]	0	NA	0.6893	NA	0.6893	NA
Serine	CL10005.Contig5_All	sp|Q9LV48|PERK1_ARATH/0.0/Proline-rich receptor-like protein kinase PERK1 OS=Arabidopsis thaliana GN=PERK1 PE=2 SV=1	gi|475546589|gb|EMT10712.1|/0/Putative serine/threonine-protein kinase [Aegilops tauschii]	-1.341	NA	-1.8602	NA	-0.5192	NA
Serine	CL10005.Contig6_All	sp|Q9LV48|PERK1_ARATH/0.0/Proline-rich receptor-like protein kinase PERK1 OS=Arabidopsis thaliana GN=PERK1 PE=2 SV=1	gi|475546589|gb|EMT10712.1|/0/Putative serine/threonine-protein kinase [Aegilops tauschii]	-0.2145	NA	-0.8763	NA	-0.6619	NA
Transcription	CL1001.Contig10_All	sp|Q9SV15|WRK11_ARATH/3e-70/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/4.39565e-121/WRKY transcription factor [Triticum aestivum]	-0.602	NA	0.2345	NA	0.8365	NA
Transcription	CL1001.Contig11_All	sp|Q9SV15|WRK11_ARATH/6e-67/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|126508740|gb|ABO15546.1|/1.50263e-109/WRKY68-b transcription factor [Triticum aestivum]	-0.7409	NA	-0.9065	NA	-0.1657	NA
Transcription	CL1001.Contig12_All		gi|125491389|gb|ABN43181.1|/3.55678e-14/WRKY transcription factor [Triticum aestivum]	0.5926	NA	-0.9773	NA	-1.5699	NA
Transcription	CL1001.Contig15_All	sp|Q9SV15|WRK11_ARATH/4e-55/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/1.06278e-97/WRKY transcription factor [Triticum aestivum]	0.1806	NA	0.6292	NA	0.4486	NA
Transcription	CL1001.Contig16_All	sp|Q9SV15|WRK11_ARATH/6e-72/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/1.3318e-120/WRKY transcription factor [Triticum aestivum]	2.0915	NA	0.237	NA	-1.8545	NA
Transcription	CL1001.Contig18_All	sp|Q9SV15|WRK11_ARATH/2e-23/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|474305936|gb|EMS61783.1|/1.47446e-22/putative WRKY transcription factor 11 [Triticum urartu]	1	NA	-1.2524	NA	-2.2524	NA
Transcription	CL1001.Contig2_All	sp|Q9SV15|WRK11_ARATH/8e-74/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/1.75614e-126/WRKY transcription factor [Triticum aestivum]	0.585	NA	-1	NA	-1.585	NA
Transcription	CL1001.Contig20_All	sp|Q9SV15|WRK11_ARATH/2e-73/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/2.48744e-125/WRKY transcription factor [Triticum aestivum]	1.8471	NA	1.6313	NA	-0.2159	NA
Transcription	CL1001.Contig21_All	sp|Q9SV15|WRK11_ARATH/1e-76/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/3.20783e-126/WRKY transcription factor [Triticum aestivum]	2.341	NA	1.4968	NA	-0.8442	NA
Transcription	CL1001.Contig22_All	sp|Q9SV15|WRK11_ARATH/1e-47/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|126508740|gb|ABO15546.1|/2.93222e-53/WRKY68-b transcription factor [Triticum aestivum]	3.1173	NA	1.6605	NA	-1.4568	NA
Transcription	CL1001.Contig4_All	sp|Q9SV15|WRK11_ARATH/3e-74/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/1.00468e-131/WRKY transcription factor [Triticum aestivum]	-3.6176	NA	-2.7982	NA	0.8194	NA
Transcription	CL1001.Contig6_All	sp|Q9SV15|WRK11_ARATH/9e-36/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|126508740|gb|ABO15546.1|/6.49814e-39/WRKY68-b transcription factor [Triticum aestivum]	-1.0661	NA	-0.9368	NA	0.1293	NA
Transcription	CL1001.Contig8_All	sp|Q9SV15|WRK11_ARATH/1e-72/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/2.98315e-123/WRKY transcription factor [Triticum aestivum]	0.5467	NA	0.028	NA	-0.5187	NA
Transcription	CL1001.Contig9_All	sp|Q9SV15|WRK11_ARATH/4e-56/Probable WRKY transcription factor 11 OS=Arabidopsis thaliana GN=WRKY11 PE=2 SV=2	gi|125491389|gb|ABN43181.1|/3.88031e-93/WRKY transcription factor [Triticum aestivum]	0.5413	NA	-0.2642	NA	-0.8054	NA
RNA_Processing	CL10016.Contig1_All	sp|Q8GYD9|SDE3_ARATH/0.0/Probable RNA helicase SDE3 OS=Arabidopsis thaliana GN=SDE3 PE=1 SV=1	gi|357113958|ref|XP_003558768.1|/0/PREDICTED: probable RNA helicase SDE3 [Brachypodium distachyon] &gt;gi|944088184|gb|KQK23536.1| hypothetical protein BRADI_1g74450 [Brachypodium distachyon]	0.2483	NA	0.7916	NA	0.5433	NA
Proline	CL10026.Contig1_All	sp|Q9FJX0|PPIL2_ARATH/3e-39/Peptidyl-prolyl cis-trans isomerase-like 2 OS=Arabidopsis thaliana GN=PUB49 PE=2 SV=1	gi|357110647|ref|XP_003557128.1|/1.56089e-97/PREDICTED: peptidyl-prolyl cis-trans isomerase CYP18-1 [Brachypodium distachyon] &gt;gi|944084360|gb|KQK19712.1| hypothetical protein BRADI_1g49972 [Brachypodium distachyon]	-0.0201	NA	-0.6373	NA	-0.6172	NA
Proline	CL10026.Contig2_All	sp|Q9FJX0|PPIL2_ARATH/7e-42/Peptidyl-prolyl cis-trans isomerase-like 2 OS=Arabidopsis thaliana GN=PUB49 PE=2 SV=1	gi|357110647|ref|XP_003557128.1|/3.15228e-101/PREDICTED: peptidyl-prolyl cis-trans isomerase CYP18-1 [Brachypodium distachyon] &gt;gi|944084360|gb|KQK19712.1| hypothetical protein BRADI_1g49972 [Brachypodium distachyon]	0.494	NA	-1.1125	NA	-1.6065	NA
Proline	CL10026.Contig3_All	sp|Q9FJX0|PPIL2_ARATH/3e-41/Peptidyl-prolyl cis-trans isomerase-like 2 OS=Arabidopsis thaliana GN=PUB49 PE=2 SV=1	gi|357110647|ref|XP_003557128.1|/1.28943e-100/PREDICTED: peptidyl-prolyl cis-trans isomerase CYP18-1 [Brachypodium distachyon] &gt;gi|944084360|gb|KQK19712.1| hypothetical protein BRADI_1g49972 [Brachypodium distachyon]	-0.083	NA	-0.7985	NA	-0.7155	NA
Serine	CL10038.Contig2_All	sp|Q0DJS1|TOR_ORYSJ/0.0/Serine/threonine-protein kinase TOR OS=Oryza sativa subsp. japonica GN=TOR PE=2 SV=3	gi|960468134|ref|XP_003568625.2|/0/PREDICTED: serine/threonine-protein kinase TOR [Brachypodium distachyon] &gt;gi|944071233|gb|KQK06717.1| hypothetical protein BRADI_2g28007 [Brachypodium distachyon]	0.2051	NA	-0.1611	NA	-0.3662	NA
Serine	CL10038.Contig5_All	sp|Q0DJS1|TOR_ORYSJ/0.0/Serine/threonine-protein kinase TOR OS=Oryza sativa subsp. japonica GN=TOR PE=2 SV=3	gi|960468134|ref|XP_003568625.2|/0/PREDICTED: serine/threonine-protein kinase TOR [Brachypodium distachyon] &gt;gi|944071233|gb|KQK06717.1| hypothetical protein BRADI_2g28007 [Brachypodium distachyon]	3	NA	3.3692	NA	0.3692	NA
Leucine	CL10056.Contig1_All	sp|Q6K669|AMPL2_ORYSJ/0.0/Leucine aminopeptidase 2, chloroplastic OS=Oryza sativa subsp. japonica GN=Os02g0794700 PE=2 SV=1	gi|721657984|ref|XP_010234597.1|/0/PREDICTED: leucine aminopeptidase 2, chloroplastic-like [Brachypodium distachyon] &gt;gi|944060539|gb|KQJ96129.1| hypothetical protein BRADI_3g21200 [Brachypodium distachyon]	1.0381	NA	-1.0896	NA	-2.1277	NA
Leucine	CL10056.Contig2_All	sp|Q6K669|AMPL2_ORYSJ/0.0/Leucine aminopeptidase 2, chloroplastic OS=Oryza sativa subsp. japonica GN=Os02g0794700 PE=2 SV=1	gi|474036630|gb|EMS53149.1|/0/Leucine aminopeptidase 2, chloroplastic [Triticum urartu]	-0.6139	NA	0.1756	NA	0.7895	NA
Translation	CL10066.Contig1_All		gi|357143775|ref|XP_003573046.1|/5.04365e-53/PREDICTED: eukaryotic translation initiation factor 4B3 [Brachypodium distachyon] &gt;gi|944058950|gb|KQJ94540.1| hypothetical protein BRADI_3g11110 [Brachypodium distachyon]	0.5572	NA	0.8132	NA	0.256	NA
Translation	CL10066.Contig2_All		gi|357143775|ref|XP_003573046.1|/4.69501e-169/PREDICTED: eukaryotic translation initiation factor 4B3 [Brachypodium distachyon] &gt;gi|944058950|gb|KQJ94540.1| hypothetical protein BRADI_3g11110 [Brachypodium distachyon]	0.8224	NA	1.613	NA	0.7907	NA
RNA_Processing	CL10069.Contig1_All	sp|Q8L633|RNZC_ARATH/8e-154/Ribonuclease Z, chloroplastic OS=Arabidopsis thaliana GN=CPZ PE=2 SV=1	gi|357159012|ref|XP_003578311.1|/0/PREDICTED: ribonuclease Z, chloroplastic [Brachypodium distachyon] &gt;gi|944055075|gb|KQJ90713.1| hypothetical protein BRADI_4g33440 [Brachypodium distachyon]	0.1446	NA	1.9466	NA	1.802	NA
RNA_Processing	CL10069.Contig2_All	sp|Q8L633|RNZC_ARATH/7e-154/Ribonuclease Z, chloroplastic OS=Arabidopsis thaliana GN=CPZ PE=2 SV=1	gi|357159012|ref|XP_003578311.1|/0/PREDICTED: ribonuclease Z, chloroplastic [Brachypodium distachyon] &gt;gi|944055075|gb|KQJ90713.1| hypothetical protein BRADI_4g33440 [Brachypodium distachyon]	-0.217	NA	1.6983	NA	1.9153	NA
Chaperone	CL10077.Contig2_All		gi|475511936|gb|EMT05451.1|/0/DnaJ homolog subfamily B member 12 [Aegilops tauschii]	0.0936	NA	0.1961	NA	0.1025	NA
Glutathione_Metabolism	CL10105.Contig1_All	sp|P52032|GPX1_ARATH/4e-100/Phospholipid hydroperoxide glutathione peroxidase 1, chloroplastic OS=Arabidopsis thaliana GN=GPX1 PE=2 SV=2	gi|357125002|ref|XP_003564185.1|/5.53931e-115/PREDICTED: phospholipid hydroperoxide glutathione peroxidase 1, chloroplastic [Brachypodium distachyon] &gt;gi|944083895|gb|KQK19247.1| hypothetical protein BRADI_1g47140 [Brachypodium distachyon]	0.2169	NA	0.0939	NA	-0.123	NA
Serine	CL10113.Contig1_All	sp|C0LGS2|Y4361_ARATH/1e-37/Probable LRR receptor-like serine/threonine-protein kinase At4g36180 OS=Arabidopsis thaliana GN=At4g36180 PE=2 SV=1	gi|475605260|gb|EMT26008.1|/7.96711e-91/Putative LRR receptor-like serine/threonine-protein kinase [Aegilops tauschii]	-2.4422	NA	-6.9658	NA	-4.5236	NA
Gibberellin_GA3	CL10114.Contig1_All	sp|Q0JIC2|GAM1_ORYSJ/1e-178/Transcription factor GAMYB OS=Oryza sativa subsp. japonica GN=GAM1 PE=2 SV=1	gi|4877649|gb|AAD31395.1|AF114162_1/0/gibberellin MYB transcription factor [Lolium temulentum]	-0.7808	NA	-1.5406	NA	-0.7597	NA
Gibberellin_GA3	CL10114.Contig2_All	sp|A2WW87|GAM1_ORYSI/8e-69/Transcription factor GAMYB OS=Oryza sativa subsp. indica GN=GAM1 PE=2 SV=1	gi|4877649|gb|AAD31395.1|AF114162_1/1.37313e-94/gibberellin MYB transcription factor [Lolium temulentum]	0.9069	NA	-0.585	NA	-1.4919	NA
Gibberellin_GA3	CL10114.Contig3_All	sp|A2WW87|GAM1_ORYSI/4e-68/Transcription factor GAMYB OS=Oryza sativa subsp. indica GN=GAM1 PE=2 SV=1	gi|4877649|gb|AAD31395.1|AF114162_1/8.39218e-94/gibberellin MYB transcription factor [Lolium temulentum]	0.8957	NA	0.3286	NA	-0.567	NA
Gibberellin_GA3	CL10114.Contig4_All	sp|A2WW87|GAM1_ORYSI/0.0/Transcription factor GAMYB OS=Oryza sativa subsp. indica GN=GAM1 PE=2 SV=1	gi|4877649|gb|AAD31395.1|AF114162_1/0/gibberellin MYB transcription factor [Lolium temulentum]	-0.0233	NA	-0.6259	NA	-0.6027	NA
Serine	CL10117.Contig1_All	sp|C0LGN2|Y3148_ARATH/7e-103/Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 OS=Arabidopsis thaliana GN=LRR-RLK PE=2 SV=1	gi|357112997|ref|XP_003558291.1|/0/PREDICTED: putative serine/threonine-protein kinase isoform X1 [Brachypodium distachyon] &gt;gi|944087090|gb|KQK22442.1| hypothetical protein BRADI_1g67247 [Brachypodium distachyon]	-0.0426	NA	-0.9073	NA	-0.8647	NA
Serine	CL10117.Contig2_All	sp|C0LGN2|Y3148_ARATH/2e-103/Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 OS=Arabidopsis thaliana GN=LRR-RLK PE=2 SV=1	gi|357112997|ref|XP_003558291.1|/0/PREDICTED: putative serine/threonine-protein kinase isoform X1 [Brachypodium distachyon] &gt;gi|944087090|gb|KQK22442.1| hypothetical protein BRADI_1g67247 [Brachypodium distachyon]	0.142	NA	-0.8053	NA	-0.9473	NA
Omega3_Fatty_Acid	CL10129.Contig1_All		gi|474392006|gb|EMS65425.1|/5.31106e-21/Omega-6 fatty acid desaturase, endoplasmic reticulum [Triticum urartu]	-1.3601	NA	-4.2677	NA	-2.9075	NA
Omega3_Fatty_Acid	CL10129.Contig2_All		gi|474392006|gb|EMS65425.1|/9.30973e-17/Omega-6 fatty acid desaturase, endoplasmic reticulum [Triticum urartu]	-0.567	NA	-2.5564	NA	-1.9894	NA
